pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2012000001,1,1,2,874,120,,9999,,,,,,14,2012,1,2,1,4,5,2,9,3,1,8,3,0,1,0,2,3,6,6,2,2,9,9,9,3,3,2,2,23,237,0,16,3,222777,731036
2012000002,1,1,2,8600,802,,63,,,,,,20,2012,1,3,1,4,5,3,9,2,1,8,1,0,1,3,3,3,6,,1,1,9,9,9,3,3,2,5,51,512,0,14,1,182689,665846
2012000003,1,1,2,6100,502,,98,,,,,,20,2012,1,8,1,4,5,1,9,1,1,8,1,0,1,1,1,3,3,7,1,1,9,9,9,1,2,1,5,51,512,0,14,1,184298,665893
2012000004,1,1,2,5000,225,,209,,,,,,20,2012,1,10,1,4,5,3,9,1,1,8,1,0,1,1,2,4,6,7,1,1,9,9,7,0,0,9,5,51,511,0,12,1,182797,668688
2012000005,1,1,1,5000,1518,1557,,80624,,,,,20,2012,1,3,1,4,5,3,0,3,1,9,3,0,1,1,3,3,6,1,1,1,9,9,9,3,3,1,5,51,511,0,12,1,179969,663372
2012000006,1,1,2,9000,900,,9999,,,,,,34,2012,1,20,1,4,5,6,9,3,1,8,0,3,3,1,3,3,3,2,2,2,9,9,9,1,3,2,6,62,623,0,14,3,180182,572452
2012000009,1,1,2,8600,202,,9999,,,,,,20,2012,1,24,1,4,5,3,9,3,1,8,0,1,1,1,1,3,6,7,1,1,9,9,9,0,0,9,5,51,512,0,14,3,183153,666771
2012000010,1,1,2,6200,212,,9999,,,,,,20,2012,1,25,1,4,5,4,9,3,1,8,3,0,1,1,2,3,10,7,1,1,9,9,9,3,3,2,5,51,513,0,14,3,175315,657363
2012000012,1,1,2,8600,0,,9999,,,,,,20,2012,1,10,1,4,5,3,9,3,1,9,3,0,1,1,2,3,6,7,1,1,9,9,9,3,3,1,5,51,512,0,14,2,183848,663484
2012000013,1,2,2,3489,,,1,,,,,,43,2012,2,1,1,4,5,4,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,7,77,777,,49,2,220993,642008
2012000014,1,1,1,5000,1040,,,,,,,,20,2012,2,7,1,4,5,3,0,3,1,9,3,0,1,1,3,3,6,1,1,1,9,9,9,1,3,1,5,51,511,0,12,3,179553,665859
2012000015,1,1,1,7400,418,627,,7960012,,,,,51,2012,2,8,1,4,5,4,1,3,1,9,0,3,1,1,5,3,6,2,1,1,9,9,9,3,3,1,4,41,411,0,14,1,187165,692642
2012000017,1,1,1,2640,142,125,,400001,,,,,51,2012,2,13,1,4,5,2,9,3,1,9,1,0,1,1,4,3,6,7,1,1,9,9,9,0,0,9,4,42,422,0,16,1,195712,666073
2012000020,1,1,2,5000,2318,,18,,,,,,20,2012,2,15,1,4,5,4,9,3,1,8,1,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,5,51,511,0,12,3,179418,662502
2012000021,1,1,2,6200,6003,,55,,,,,,20,2012,2,8,1,4,5,4,9,3,1,8,3,0,1,1,2,3,6,7,1,1,9,9,9,3,3,1,5,51,513,0,14,2,176483,657939
2012000024,1,1,1,5000,1103,1264,,30554,,,,,20,2012,2,21,1,4,5,3,1,3,1,8,1,0,1,1,2,3,6,2,1,1,9,9,9,1,3,2,5,51,511,0,12,1,179139,663791
2012000025,1,1,2,5000,267,,12,,,,,,20,2012,2,22,1,4,5,4,9,3,1,9,3,0,1,1,0,3,3,,1,1,9,9,9,1,2,2,5,51,511,0,12,1,183334,669644
2012000026,1,1,2,5000,1983,,78,,,,,,20,2012,2,23,1,4,5,5,9,3,1,8,3,0,1,1,2,4,6,,1,1,9,9,7,0,0,9,5,51,511,0,12,1,176775,661184
2012000027,1,1,1,9600,184,183,,7890006,,,,,11,2012,2,27,1,4,5,2,9,3,1,9,0,3,1,1,2,3,6,7,1,1,9,9,9,3,3,1,3,31,311,0,16,1,206479,749888
2012000028,1,1,1,6400,713,707,,80008,,,,,20,2012,2,27,1,4,5,2,9,3,1,8,1,0,1,1,2,3,6,,1,1,9,9,9,3,3,1,5,51,511,0,15,1,181996,674425
2012000029,1,1,2,31,211,,9999,,,,,,34,2012,2,28,1,4,5,3,9,3,1,8,0,3,1,1,4,3,6,,1,1,9,9,9,3,3,2,6,62,622,0,16,3,164651,579212
2012000030,1,1,1,3000,1714,1760,,12640532,,,,,61,2012,3,4,1,4,5,1,1,3,1,11,0,2,1,1,3,3,3,2,2,2,9,9,9,1,4,1,1,11,111,0,11,1,221350,629805
2012000034,1,1,1,5000,510,1138,,10430511,,,,,20,2012,3,9,1,4,5,6,0,3,1,9,2,0,1,1,0,3,6,1,1,1,9,9,9,1,3,1,5,51,511,0,12,1,178261,664618
2012000035,1,1,1,5000,1201,1135,,10760513,,,,,20,2012,3,9,1,4,5,6,1,3,1,8,1,0,1,1,2,3,3,2,1,1,9,9,9,1,4,2,5,51,511,0,12,1,178377,664370
2012000047,1,1,1,5000,510,621,,12040334,,,,,20,2012,3,22,1,4,5,5,0,3,1,8,1,0,1,1,3,3,6,7,1,1,9,9,9,0,0,9,5,51,511,0,12,1,178507,665441
2012000050,1,1,1,7900,112,485,,11000013,,,,,51,2012,3,29,1,4,5,5,0,3,1,8,0,3,1,1,2,3,6,1,1,1,9,9,9,0,0,9,4,42,422,0,14,1,190406,667340
2012000051,1,1,2,5000,2950,,20,,,,,,20,2012,4,1,1,4,5,1,9,3,1,9,1,0,1,1,2,3,6,,1,1,9,9,9,3,3,1,5,51,511,0,12,3,181870,661681
2012000053,1,1,2,874,124,,20,,,,,,14,2012,4,3,1,4,5,3,9,3,1,9,3,0,1,1,3,3,3,,1,1,9,9,9,3,3,2,2,23,237,0,16,1,222317,731423
2012000055,1,1,2,5000,1011,,9999,,,,,,20,2012,4,4,1,4,5,4,9,2,1,9,0,3,1,1,3,3,6,,1,1,9,9,9,0,0,9,5,51,511,0,12,3,180525,668440
2012000058,1,1,2,7400,517,,9999,,,,,,51,2012,4,6,1,2,5,6,9,3,1,9,1,0,1,1,3,3,3,7,1,1,9,9,9,0,0,9,4,41,411,0,14,3,186725,691900
2012000059,1,1,2,4000,635,,74,,,,,,11,2012,4,8,1,3,5,1,9,3,1,9,0,2,1,1,3,3,6,,1,1,9,9,9,3,3,2,3,31,311,0,13,1,198853,746155
2012000060,1,1,1,5000,1301,2208,,18830533,,,,,20,2012,4,11,1,3,5,4,9,3,1,9,3,0,1,1,3,3,6,,1,1,9,9,9,1,3,1,5,51,511,0,12,1,178319,663065
2012000061,1,1,1,5000,2958,2959,,24200942,,,,,20,2012,4,16,1,4,5,2,0,3,1,8,0,3,1,1,1,3,6,1,1,1,9,9,9,0,0,9,5,51,511,0,12,1,182197,661857
2012000063,1,1,1,5000,1135,1103,,12950556,,,,,20,2012,4,22,1,4,5,1,1,3,1,8,2,0,1,1,4,3,6,2,1,1,9,9,9,3,3,2,5,51,511,0,12,1,178713,663450
2012000064,1,1,1,6900,277,,,,,,,,51,2012,4,23,1,4,5,2,1,2,1,9,3,0,1,1,3,3,6,2,1,1,9,9,9,4,4,2,4,42,421,0,15,3,193435,676215
2012000066,1,1,1,6600,725,530,,8010042,,,,,20,2012,4,23,1,4,5,2,9,3,1,8,1,0,1,1,2,3,6,7,1,1,9,9,9,3,3,2,5,51,513,0,14,1,178042,658994
2012000067,1,1,2,9000,1162,,9999,,,,,,34,2012,4,28,1,4,5,7,9,2,1,8,3,0,1,1,4,3,6,,1,1,9,9,9,3,2,1,6,62,623,0,14,3,177106,575372
2012000068,1,1,2,7900,118,,91,,,,,,51,2012,5,1,1,4,5,3,9,3,1,9,1,0,1,1,2,3,6,,1,1,9,9,9,0,0,9,4,42,422,0,14,1,188987,667046
2012000070,1,1,1,5000,1135,1110,,10700523,,,,,20,2012,5,2,1,4,5,4,1,3,1,5,1,0,1,1,1,3,6,2,1,1,9,9,9,3,4,1,5,51,511,0,12,1,178480,664149
2012000073,1,1,1,6700,202,137,,7470001,,,,,14,2012,5,3,1,4,5,5,1,3,1,8,3,0,1,1,4,3,6,2,1,1,9,9,9,0,0,9,2,22,221,0,16,1,250321,744313
2012000077,1,1,1,8600,719,722,,130123,,,,,20,2012,5,10,1,4,5,5,9,3,1,9,2,0,1,1,4,3,6,,1,1,9,9,9,3,3,1,5,51,512,0,14,1,182879,665244
2012000078,1,1,1,6100,724,825,,9500031,,,,,20,2012,5,13,1,4,5,1,1,3,1,9,0,3,1,1,2,3,6,2,1,1,9,9,9,1,4,2,5,51,512,0,14,1,185153,665435
2012000079,1,1,2,5000,1511,,23,,,,,,20,2012,5,14,1,4,5,2,9,3,1,9,0,3,1,1,3,3,6,,1,1,9,9,9,3,3,1,5,51,511,0,12,1,179630,663965
2012000081,1,2,2,3780,160,,1,,,,,,43,2012,4,23,1,4,5,2,9,2,1,8,3,0,1,1,3,3,6,,1,1,9,9,9,0,0,9,7,77,777,0,16,1,210609,622297
2012000083,1,1,2,8800,0,,9999,,,,,,14,2012,5,21,1,4,5,2,9,3,1,8,3,0,1,1,3,3,6,,1,1,9,9,9,0,0,9,2,24,241,0,26,2,216925,745263
