keta,road,X,Y
52,1,193645,647061
872,1,225579,632400
52,2,187331,697092
70,2,192262,714572
80,2,195812,734653
10,3,163499,620665
14,3,167796,621572
20,3,176575,626404
30,3,178161,628162
40,3,180519,630108
45,3,192048,635791
50,3,192362,636013
58,3,198423,638214
60,3,199137,638575
810,3,200829,640310
10,4,158346,610499
20,4,158713,611076
22,4,162755,619281
30,4,162947,620275
40,4,164261,623806
50,4,165780,626364
54,4,170417,634415
158,4,189906,684530
160,4,190047,685204
170,4,191274,692676
180,4,191125,700266
190,4,191597,706543
200,4,191592,707188
210,4,193261,711211
218,4,193580,712064
220,4,193594,715383
240,4,197429,735797
282,4,209437,759257
290,4,208856,762053
300,4,210313,771709
302,4,211129,775338
310,4,211166,775716
50,5,195336,668935
60,5,197460,667679
810,5,201224,668302
10,9,191352,701751
20,9,199564,702107
10,25,202458,551938
30,25,171540,581897
40,25,171223,582247
50,25,166945,583224
58,25,162178,592555
60,25,159230,595074
70,25,155033,597942
10,31,180746,586823
20,34,158999,610548
10,35,164624,619211
20,35,168303,617949
30,35,177812,614481
32,35,178261,614253
40,35,183163,611336
10,38,195016,621101
20,38,194844,621968
30,38,200217,631003
40,38,201431,632189
37,40,180306,579927
39,40,179782,580458
50,40,176926,614844
60,40,176786,625447
70,40,177826,633990
72,40,178159,635578
80,40,179514,637967
90,40,181529,640434
100,40,184463,643888
102,40,191415,651172
110,40,191069,652330
120,40,191159,654372
130,40,191263,656305
140,40,191359,657592
150,40,191449,659286
152,40,190889,665803
170,40,190670,667974
182,40,191129,670327
192,40,191129,670780
10,41,170461,637588
6,42,172157,636560
10,42,173412,638468
20,42,174341,639705
22,42,176694,643373
26,42,179411,650172
10,44,194542,635270
20,44,189523,644507
30,44,189296,647409
32,44,188866,648277
40,44,188038,649346
50,44,187120,650113
60,44,184750,653951
810,45,217895,641596
10,46,192212,657296
10,55,193919,675650
20,55,194832,676139
30,55,195221,676073
810,55,199889,676700
10,57,187968,692366
20,57,190908,692241
30,57,191886,692120
38,57,196767,691161
40,57,200318,690907
10,60,183428,574028
12,60,190250,579240
20,60,190945,579822
30,60,230158,717696
34,60,230094,718459
40,60,227685,728780
50,60,227778,729577
823,60,219190,626408
30,65,195911,705903
40,65,196917,706298
50,65,199235,707373
60,65,199857,708061
62,65,202796,709709
78,65,218466,719908
80,65,224410,722645
90,65,228622,724674
100,65,238777,740988
10,66,218606,719452
10,70,195055,722069
20,70,196985,721055
30,70,197388,720914
40,70,208247,728355
48,70,210447,730680
70,70,207738,740349
80,70,210131,741471
90,70,214447,747255
100,70,217413,755200
110,70,216088,756893
130,70,213649,769548
1,71,228616,723661
10,71,239944,717016
20,71,242507,715845
28,71,248546,712881
30,71,251831,711015
10,73,219576,732987
20,73,223143,729663
10,75,229419,734895
30,75,225276,731663
40,75,217252,734394
50,75,209297,736798
60,75,207336,739482
70,75,205936,741219
1,77,221272,739142
2,77,223525,741241
10,77,238378,742176
20,77,240501,742892
30,77,248192,743803
1,79,212380,748569
2,85,211918,757967
20,85,216282,757484
26,85,227190,758851
28,85,230660,759326
29,85,238293,759196
30,85,244491,757079
40,85,250278,757406
10,87,252104,753208
730,87,266717,762588
750,87,273922,766555
20,89,214080,769029
30,89,236758,769917
40,89,241756,768598
50,89,244251,766497
60,89,250731,762150
30,90,229699,544297
44,90,237742,597117
50,90,246976,708793
60,90,247327,709966
62,90,248583,712140
64,90,249178,713103
66,90,255169,733490
70,90,253745,736260
80,90,251344,742583
90,90,248198,748778
91,90,252183,755000
92,90,251388,757436
94,90,251201,758755
100,90,252438,765029
108,90,252984,766598
110,90,253692,781475
10,92,256924,734375
720,92,262057,754200
730,92,262158,754402
10,98,255995,734586
20,98,256993,734094
10,99,256856,792242
10,222,172715,551897
20,222,150246,570666
10,232,145660,575429
20,232,155686,597097
30,232,160527,601829
32,232,160964,601991
40,232,164962,607070
60,232,167104,621077
70,232,165711,625777
10,234,148110,588432
10,240,136696,571170
2,241,146917,580409
10,241,163124,581112
20,241,166464,582720
10,242,147253,587952
