center,X,Y
0,252232,754808
0,232686,544841
0,138758,568832
0,230800,769729
0,227042,775681
0,193695,620300
0,273922,766555
0,147253,587952
0,148110,588432
0,241743,713003
0,165149,585426
0,251144,738121
0,250027,752473
0,136696,571170
0,251687,779984
0,230766,737844
0,272630,755715
0,200568,713237
0,244240,773448
0,214757,633471
0,247651,777522
0,254789,732666
0,146256,580645
0,155033,597942
0,225288,775690
0,256993,734094
0,175092,633829
0,199540,715929
0,272860,756353
0,252327,711175
0,194248,620001
0,256105,732410
0,172715,551897
0,150246,570666
0,197830,735575
0,197824,638419
0,218263,771415
0,158346,610499
0,166873,595701
0,257083,790341
0,225998,737666
0,266717,762588
0,162293,581378
0,258601,787289
0,193178,685217
0,165557,620765
0,173661,623589
0,231629,717692
0,183839,615162
0,226790,723307
0,172134,613654
0,239245,771727
0,159222,612463
0,211166,775716
0,224740,719187
0,209803,736420
0,237742,597117
0,197752,734182
0,135957,570437
0,199515,713840
0,175111,633698
0,143224,574000
0,205181,741009
0,193902,620168
0,194059,649409
0,170808,600322
0,186494,588425
0,244055,711702
0,237349,717800
0,158098,595523
0,261188,789221
0,249011,711137
0,262057,754200
0,202613,704721
0,247266,709298
0,189665,641082
0,196786,727260
0,256533,788623
0,199629,669690
0,215061,633352
0,201211,631524
0,159230,595074
0,200829,640310
0,229699,544297
0,257267,786958
0,193662,685425
0,253471,780694
0,207250,633771
0,237895,720517
0,245469,745286
0,251749,756646
0,174620,636329
0,220005,553379
0,184664,610336
0,177375,617807
0,165666,626118
0,178644,619427
0,251831,711015
0,176204,572369
0,245823,766266
0,162258,617953
0,252104,753208
0,192282,671614
0,177329,609048
0,198397,629336
0,179872,638084
0,224532,722767
0,195326,723736
0,252183,755000
0,212509,630666
0,188520,680861
0,212280,631690
0,201238,622819
0,162233,591477
0,205813,708116
0,239177,731306
0,169836,626768
0,248583,712140
0,210489,744661
0,167701,608878
0,191815,661666
0,199528,698481
0,262158,754402
0,246869,709144
0,245655,765913
0,188650,654417
0,209258,723525
0,241247,716285
0,175071,637144
0,184805,643491
0,199088,691085
0,200355,628687
0,223663,719961
0,200232,621400
0,196200,691103
0,229210,717610
0,193460,685222
0,218606,719452
0,191514,651580
0,167104,621077
0,215046,775159
0,214670,630975
0,192841,678356
0,209416,764804
0,146917,580409
0,222520,729970
0,256924,734375
0,235508,727629
0,226850,767731
0,251388,757436
0,230130,723536
0,198489,621296
0,237093,729789
0,246976,708793
0,255508,785644
0,247327,709966
0,215401,633491
0,248546,712881
0,184870,654242
0,211530,747431
0,214302,630841
0,192752,667641
0,242681,753232
0,249178,713103
0,189804,692312
0,190912,645831
0,211816,634250
0,215184,629351
0,187486,647093
0,155686,597097
0,165711,625777
0,252173,763897
0,241756,768598
0,194431,675817
0,236603,718928
0,236758,769917
0,194844,621968
0,192122,694490
0,199564,702107
0,185079,639123
0,178674,650715
0,205990,727181
0,213649,769548
0,196256,660196
0,251755,735733
0,238613,759251
0,199485,683113
0,171531,616992
0,160527,601829
0,180306,579927
0,195016,621101
0,162919,591795
0,246907,749000
0,246832,713092
0,244251,766497
0,180610,629714
0,250731,762150
0,196697,735221
0,190689,692272
0,230749,736828
0,195590,654752
0,211483,775583
0,255995,734586
0,221781,733031
0,208749,634311
0,175005,626712
0,194607,651062
0,163499,620665
0,145660,575429
0,192005,712340
0,248198,748778
0,212646,631848
0,211129,775338
0,164962,607070
0,202458,551938
0,188201,687941
0,197005,720130
0,217677,755406
0,196733,706493
0,190250,579240
0,166945,583224
0,213760,735443
0,194542,635270
0,166464,582720
0,225276,731663
0,224982,752705
0,204258,737802
0,242507,715845
0,191382,700010
0,168239,628955
0,191359,657592
0,230094,718459
0,203871,737833
0,224410,722645
0,214566,630902
0,167796,621572
0,196448,713101
0,173412,638468
0,195454,734994
0,158999,610548
0,160964,601991
0,195399,715503
0,176230,642976
0,180746,586823
0,183163,611336
0,180148,647770
0,200739,687176
0,201224,668302
0,197429,735797
0,202201,708594
0,189523,644507
0,193904,713767
0,183008,642526
0,163124,581112
0,171540,581897
0,199137,638575
0,195055,722069
0,174768,636600
0,251344,742583
0,199889,676700
0,255169,733490
0,188538,659145
0,194718,709538
0,199857,708061
0,201906,706464
0,194793,685280
0,196489,712498
0,191592,707188
0,206828,711680
0,244491,757079
0,198262,680611
0,209297,736798
0,219869,734106
0,200194,627981
0,206733,726846
0,176575,626404
0,204140,699002
0,199476,708165
0,193426,658284
0,178261,614253
0,171223,582247
0,230158,717696
0,213018,747650
0,219576,732987
0,228616,723661
0,194620,671687
0,195221,676073
0,176926,614844
0,184813,663441
0,164624,619211
0,196418,718706
0,238777,740988
0,180519,630108
0,216088,756893
0,210313,771709
0,192212,657296
0,217252,734394
0,189799,675951
0,191383,690072
0,253745,736260
0,220020,640201
0,202092,707869
0,200049,628863
0,256856,792242
0,192537,678804
0,189582,659310
0,176694,643373
0,200318,690907
0,184235,657017
0,168303,617949
0,222971,721667
0,178159,635578
0,191886,692120
0,190945,579822
0,217921,637342
0,252984,766598
0,246797,743393
0,239944,717016
0,174341,639705
0,209437,759257
0,223143,729663
0,191449,659286
0,198900,707369
0,216282,757484
0,225579,632400
0,200130,691031
0,195974,713065
0,199235,707373
0,215074,747666
0,232728,740610
0,177538,634043
0,253692,781475
0,191352,701751
0,229419,734895
0,198606,682080
0,188866,648277
0,186187,651000
0,177812,614481
0,214080,769029
0,192362,636013
0,162178,592555
0,248192,743803
0,198683,690674
0,191714,677817
0,189296,647409
0,189003,684723
0,228622,724674
0,188038,649346
0,195812,734653
0,164261,623806
0,195262,673136
0,191159,654372
0,250278,757406
0,180158,576864
0,190147,675104
0,219190,626408
