x,y
178252.0554,665183.9011
178972.04,666411.9098
179112.9286,665191.8324
200361.3197,747265.6613
258333.7997,792112.4725
226838.1144,757784.7252
178248.9635,665166.4369
202528.9545,690954.6869
178125.1479,665010.8019
178109.261,664955.8304
178502.9719,665392.3872
178828.0317,665788.513
181688.1655,672568.9026
194977.9983,384810.5877
187039.9344,687454.3807
221114.8073,631844.7627
221024.9615,631996.9924
220117.8684,632511.9068
221027.8598,632121.9482
221034.5533,632141.4426
222761.1336,633635.4625
220777.19,632129.0207
220720.3173,631934.8444
187243.0859,687449.495
179531.7383,664424.0606
179567.1284,664455.5706
179046.8411,666893.5077
179650.1684,664186.2325
180291.9858,665076.6709
178774.8623,665368.365
179756.4132,666939.5084
178814.2639,665125.3754
182042.8128,674578.8622
179530.9024,664261.3518
178425.6219,665313.4326
178934.6464,666888.5533
178407.8043,663353.7588
178882.8085,663396.4908
179651.8622,664027.6501
178693.4235,664743.7784
178924.691,663582.1684
178801.2588,664386.2186
178861.9529,667445.6576
179842.0735,664102.8477
178779.8863,666198.2537
178783.1599,666207.1564
184957.1564,668676.3506
184985.8733,668711.528
185003.5673,668702.3971
178517.3207,663573.1843
179567.0568,664437.2848
178919.5167,667623.9213
178908.7484,667591.2175
178956.6753,667544.6735
179012.743,667000.1889
179426.7733,665191.6032
179309.9873,665171.4813
181010.0968,674417.711
196408.8156,644054.7828
179233.8283,666908.0371
198390.1685,734114.8083
179036.3593,666593.0746
220876.0505,631960.3348
221172.0735,631795.9165
195042.8536,384849.2656
195414.5965,384694.5878
195826.2469,384689.7259
195733.2493,384656.4235
196085.8111,384979.7251
195021.79,384843.4364
182032.8198,674204.2123
175587.6957,659020.7788
181242.556,675037.5825
199052.1825,745360.2197
199103.6273,745663.7771
185343.8122,674276.3612
179676.5856,663863.8435
187180.7134,687544.5313
182174.6944,674170.9768
182092.7452,674280.2752
181649.8333,658071.5172
178818.2357,665550.4991
178787.2671,666219.0942
178755.57,666078.4982
181514.7762,574200.7828
181497.0411,574169.158
181525.9992,574193.6129
178551.2452,663626.2209
180720.047,665148.0343
221232.771,631791.1477
180247.6215,663627.1048
181588.3261,574449.1167
179987.0098,663825.7426
178209.3994,662611.0387
186348.445,666147.565
184962.9,668727.9846
219927.1587,574146.9857
220973.6584,631957.6431
200188.6504,747102.5802
210523.1792,710609.9106
166543.1135,632759.236
188952.3579,678046.9558
196522.6819,720107.8784
261295.3213,793803.7144
199308.4721,708516.2475
178809.9878,663490.1189
218768.0337,667978.2621
221025.4128,632143.2154
187196.2429,687404.2219
181162.2185,652706.8749
195977.3874,719953.8306
191656.1951,704660.6332
178144.7703,665321.0218
221072.3069,631843.2257
166411.2726,632931.3049
181249.257,657163.2372
179533.9643,664871.5798
178869.9578,655479.3191
186788.9694,665903.7222
157815.0447,620593.9184
186312.2351,693007.1992
186822.6514,692803.4496
216092.059,628475.4859
209256.5042,724038.9248
196059.98,720024.5125
220959.3731,774291.9771
219040.7166,645060.1353
185268.7267,668616.3374
196136.2369,384539.5249
179138.218,528969.0687
218426.724,645299.2713
218234.4194,624643.4726
182036.8631,645547.8877
178364.9779,664348.6576
181573.3412,646730.8681
181603.9153,646626.9297
182018.8331,645483.139
182012.1774,645502.3582
184823.1325,662273.8671
220236.0879,632536.742
178147.41,662832.5861
216492.4195,743016.1084
180892.4794,652396.8635
153126.2362,605506.4234
226320.5233,694780.4615
202437.7008,742431.6348
256018.5712,625635.2546
256016.96,625632.5765
203652.4797,689875.2881
203643.3084,689876.6664
210082.6594,729433.2866
189814.2762,678331.2909
216450.2005,643229.8615
178700.6672,663013.6305
201701.5185,743107.8659
220248.8295,632503.1562
180767.9475,503322.2878
219270.4765,645075.8078
178400.653,663146.774
187736.9186,698850.3481
178583.5312,665596.1281
179911.2684,664178.2961
182599.2091,665804.594
181632.2391,652913.0229
251084.745,743832.3388
178936.1,667644.8694
180655.2558,571238.5749
190001.4344,712146.1288
175459.2573,658347.2637
175525.5281,658782.6838
216616.5671,734656.3395
234488.6976,567237.327
178392.1153,664276.0689
199002.3168,745537.1462
200279.2024,747202.3946
180400.6157,664156.6476
157179.548,619179.1707
198821.375,744615.7746
199053.9193,743988.4597
177823.3154,664225.2931
221007.9547,632029.4789
220964.8921,632055.6079
221257.2084,631847.8359
221120.5871,631774.6627
221062.222,631886.2472
179759.1604,666830.6455
178201.9985,655838.4306
178188.3882,655814.5331
178118.2999,655862.2556
180965.4591,674459.7314
178845.4095,667087.0409
175646.612,659395.618
254490.1608,731777.9853
249294.6999,713937.7511
190796.3796,669584.7556
181993.118,653580.7613
178080.1827,664549.6051
178615.1927,663381.059
178483.2636,664874.9645
178770.5935,665346.7691
178703.732,663359.7348
178513.3948,663580.8406
178888.0577,665895.2185
178450.441,664151.7454
179402.993,664311.0456
246073.2554,639686.5425
216119.7538,628590.2636
178886.251,663573.328
178209.4299,665571.6321
178877.4342,665074.7562
180803.5563,572920.5952
182174.747,653545.7217
179033.6738,663749.0496
178351.3837,664520.1853
178363.7652,666030.2478
178744.9984,664345.2024
178289.5178,663963.7554
220113.8633,632492.0915
202198.192,646799.8463
177477.6979,662655.8873
177481.9958,662575.8275
178605.1496,663299.7044
220650.5192,632423.0256
180678.4985,574803.993
178538.5684,662623.0193
178254.7294,662739.3351
178215.3111,662622.6696
178340.376,662636.4806
178390.3588,662734.0083
194972.1277,719148.2211
194078.5036,719489.0029
196885.7768,747070.6215
181480.8411,666098.7751
181591.4146,666077.194
208581.8012,767927.9358
178416.5105,663292.6776
178432.531,664154.7007
195059.7889,709271.2649
178623.0656,663575.9981
178831.9911,663379.006
178874.3583,663237.9376
178734.189,663466.746
219177.0534,645139.2701
179355.1073,665413.3816
220737.4046,631934.3143
181199.7046,657263.5571
222835.3752,631891.3109
178682.9158,663552.46
180932.0296,502142.0124
184958.9929,672682.2121
179861.5858,572080.5294
246310.3188,763919.8762
187980.236,701978.4378
198597.6377,734113.4726
220879.5575,766603.5212
189273.2583,666320.3251
223100.6231,679633.5274
189335.6409,666189.7988
189404.4547,666827.0094
186873.7435,666144.4621
189302.358,666114.6909
189535.2846,666468.2567
195600.3469,387050.1163
189101.4301,666359.8807
262525.328,741291.9917
220892.9465,631904.8174
219088.3951,645088.5979
177070.9282,662219.2908
195735.5793,384672.0923
256007.872,625613.4388
245374.6811,640875.4579
177155.1457,662324.6214
202370.1571,690223.964
221271.7316,631886.1932
179795.3728,571900.5693
181188.3308,652753.1514
226599.6989,680152.6441
179526.5745,664925.3804
221929.7307,701818.2495
178694.0107,663377.583
195416.1052,602180.3374
218749.733,645880.4652
178474.8499,663762.0271
193982.8746,620432.7136
176897.0162,662315.5379
200285.9213,747030.6592
178256.1881,663999.5309
178434.039,663867.8606
175518.2088,658691.0631
180174.9191,649604.3338
178519.3366,663630.7182
186299.4033,693743.7009
179050.5606,666660.4964
178854.8811,664859.9255
226544.3322,654806.7381
264384.1836,745036.4469
221155.6189,631806.6363
178385.1858,663383.7465
221162.4893,630985.6301
219064.8361,645721.9808
178150.8779,662826.0849
178571.2746,663734.704
180859.5707,572775.5502
178173.9994,573336.675
178176.4069,573326.3206
178177.8168,573287.5188
178318.5517,573256.2765
212395.7114,736095.3025
172022.3173,632738.4051
179645.7983,663981.2765
220196.3134,630881.3068
180564.8224,574221.0842
180491.5582,574247.0569
180474.2434,574247.4093
218134.1979,644801.0823
236538.3004,595221.3091
220719.2685,631990.996
220983.7711,632107.4268
220230.3687,632391.6607
220247.298,632465.156
221075.8172,631867.2327
219066.2669,652976.6735
181600.5678,574436.5988
180717.9403,574326.1191
180481.056,574242.9157
180571.7771,574247.2811
180466.3824,574244.0456
181565.4767,574168.9777
179357.5269,664332.3161
221240.5796,631879.4682
220702.016,632026.4657
221058.2281,631560.1698
221069.0186,632155.4194
178770.866,665247.1866
219107.423,652974.7648
219042.5882,652970.5535
187863.4683,656463.5101
220838.9403,623677.4369
218768.7978,686318.0065
227673.4767,680212.7186
188171.9909,656675.5689
195876.2309,719891.8434
216120.5185,628581.7918
227868.8029,708239.1356
200019.9156,747171.9916
179422.1691,665581.5522
179709.2844,663221.8616
209775.9437,722562.2121
176707.8843,662418.7271
203117.2598,742130.6125
178388.5149,663905.215
179111.6478,663339.8591
247842.0452,629972.191
196924.3183,744055.4113
221070.7261,629536.763
219453.1735,670813.5295
178350.682,664945.3166
200271.3735,747110.4711
200282.8744,747096.5748
200267.7084,746910.5311
198077.4083,384984.6791
178697.6717,663060.4057
220246.1741,632423.7074
220235.3902,632494.8499
221169.16,631772.453
180147.0237,664265.4543
237426.6771,610953.3016
200281.9984,747272.8348
220418.3824,632437.882
198386.4892,746901.4912
177091.2841,662288.3143
221103.1801,631877.1944
199987.2391,747208.1437
159213.8902,620347.9324
179630.5317,666451.9619
178402.0107,664198.6816
178450.2774,664054.7929
178973.2483,665108.0973
177683.2142,662920.4637
178245.7616,663926.6835
255352.8111,623081.7365
158039.7053,621356.8988
207237.398,738899.1069
219349.5726,647146.664
206118.3436,750417.0648
199733.0342,630992.6167
212354.0177,780453.1063
244712.6717,470483.1085
