x,y, numdogs 
210534.3263,634813.9596,14
216186.6566,762891.9453,148
210851.5602,740834.6445,19
233228.8983,749154.1198,63
199616.8089,715276.6292,126
244368.9927,777107.7224,30
175778.5001,624224.9967,207
188164.1043,695191.485,207
228853.1598,718138.6966,64
201599.7238,621035.0598,58
227180.9847,771470.6024,63
189481.6015,686635.7491,1763
212796.1771,630072.6613,44
177807.8743,609259.6689,39
272057.1639,747902.0443,37
206992.133,688057.5689,84
136239.8541,567408.9103,29
201740.3036,606714.2873,29
225803.3209,717210.5745,31
219889.9808,776068.6839,54
199546.0036,618646.7735,41
185700.7681,685724.1623,240
270329.0868,788776.5343,47
145868.5112,571971.7196,39
214214.9183,714102.0366,65
223021.6043,718784.9429,90
199665.2614,697403.8559,147
163796.0529,579871.3594,1174
162152.8194,607313.8745,111
186588.3236,659471.3286,1530
192736.1735,712855.8218,929
214936.4478,629310.143,116
174987.5692,627855.9726,169
271481.9442,776744.0033,61
154656.9674,579405.5878,54
199249.9915,670803.9194,1122
210995.2155,744576.3809,57
181867.5257,659050.8326,1129
178241.7764,606942.5752,35
231928.6643,727713.0384,298
216805.2854,756917.6154,41
199347.8665,699336.5415,99
191340.8645,649057.4436,38
188015.0726,654283.3452,69
198217.3046,679724.5897,71
254387.5863,769777.7859,84
220697.712,774302.268,149
196090.4628,388091.1479,50
238389.7067,740021.9327,134
193982.2397,384601.1613,5717
229184.8538,675639.3656,161
176120.2789,608991.4829,34
230532.1016,731813.4439,47
272350.3253,787208.6914,88
251469.451,734810.2551,41
220885.5405,740390.0153,181
231575.977,682121.5683,46
211820.98,618294.4281,58
216324.9367,737178.913,133
278701.2379,772040.9491,24
213809.3611,736259.8391,96
269201.9334,745761.4822,128
193152.9395,701564.1042,333
200826.6221,411789.5849,56
251666.9279,761388.9619,81
206582.224,726387.4978,60
191699.2124,698382.4035,90
193394.7298,673237.6897,226
256683.5541,757451.5014,74
243794.4597,632584.7537,45
196084.9638,661964.4267,27
213663.3602,618565.2234,89
201590.9217,675174.4031,1019
230606.0459,770912.48,39
203626.1607,668496.8796,124
169428.523,628026.4474,160
242366.1175,760380.0567,92
253965.0714,756630.4011,65
191761.3595,604792.8876,46
269577.4476,762675.9902,133
218209.5981,747702.9541,29
266147.4963,742757.6682,57
254519.1126,731863.7957,273
212302.2066,749405.8343,66
214198.2615,617813.0605,333
245610.409,746461.1292,75
249396.9276,675501.5126,25
158912.7305,607710.6559,63
216862.7944,668104.2558,1954
182854.0355,680078.242,40
168286.7364,595140.8607,48
228861.0902,753539.9423,29
167582.8805,635675.818,7559
254729.0324,729408.6454,95
254830.3077,730186.501,89
228445.3347,754563.0022,76
190972.9045,588834.7251,42
171184.218,581629.1015,28
171812.9899,541653.5241,78
159183.2739,618811.6413,6878
215046.0787,763967.1973,77
200916.5289,632102.8403,140
204103.4231,702912.7022,81
198402.3557,402578.0006,94
173492.7045,626674.3107,410
184930.6173,649631.406,1194
143323.7477,538139.9091,20
179975.3102,573353.3219,13740
