X,Y
178611,665588
209506,739146
168055,634136
180609,663234
179275,573368
248246,742746
183586,664059
167118,634327
207706,759668
188744,665718
185206,666857
228710,733968
222844,765294
238225,755127
222844,765294
200329,745346
232754,769067
188189,677824
184973,669229
192195,675592
246578,712370
158396,618235
179278,663743
176492,658115
178291,657648
178796,658834
175611,657963
194772,667144
163516,580429
179577,571654
201608,743661
188357,677236
177377,659736
182340,644488
184194,663122
181949,652704
176210,658621
181596,659509
177948,660012
157532,618098
182881,644563
161305,592307
198070,746129
187787,663217
180708,666230
175093,625932
175610,626171
184588,664788
160113,592301
160113,592301
164240,579665
250007,744043
249442,743928
175518,627155
176071,626500
174279,619025
187853,676639
190925,664628
246578,712370
208547,748667
196064,707798
179541,662163
167462,634717
221179,633293
193606,544311
189608,665629
169427,581590
182786,644549
185056,669357
179278,663743
180038,665873
178673,658780
183129,665131
180235,575497
246730,763336
186078,659362
186012,659684
202733,553754
197637,709395
160650,592679
212949,674381
189553,650945
220776,634258
219009,626839
167881,633894
197563,747665
216524,633044
220418,633657
161314,592325
222871,638615
208366,758907
208255,759146
200322,745789
187787,663217
210156,745625
218125,636078
185248,664594
184216,670176
199105,628806
218462,636337
184478,666195
216618,632831
163592,580299
251469,765415
221928,634534
189445,651043
167650,634176
200427,745583
184536,667072
177185,659448
216417,632924
176134,642037
199865,745424
200684,741660
217389,630689
222440,628751
246962,772914
222149,773445
179567,635918
212088,734701
229793,732803
195110,385632
247451,763775
182441,643520
182130,662262
202733,553754
181260,670335
163696,580744
218327,636836
184620,666897
217675,630911
229585,733166
216433,632067
223380,638757
222000,631479
160474,592764
160862,592902
248628,742473
202529,649143
218341,636390
175093,625932
199534,628907
208604,767416
246653,711721
188073,654413
168162,634257
189997,665922
174795,642100
185036,664086
177554,613296
190965,672893
201161,644188
211051,622312
203251,553200
203735,554103
189234,650276
216734,632234
181955,652052
184495,649800
218267,636782
189080,664541
217402,630367
186789,677582
222628,628015
180460,574025
180476,667061
178860,664189
247574,763237
184221,668437
219021,626812
219009,626839
219012,626727
220416,631877
162903,580101
209944,739954
214871,634168
175983,642030
164156,579999
189106,664630
185810,685829
229817,732995
184208,674446
216854,633014
183207,676974
180020,655178
184632,666513
188666,665719
157668,617842
187261,647556
184695,664444
184494,665796
184860,667377
184069,666347
184980,664580
177377,659736
167608,633672
185075,665933
185307,665938
184360,666449
185138,664390
184654,664978
184634,664953
184634,664953
217390,630528
199474,744345
223373,638766
247132,711025
159372,620424
180445,667968
184817,674690
188694,659687
199336,742532
181418,670555
177242,659381
238225,755127
228710,733968
232754,769067
203469,703298
207989,759822
210651,746733
211446,746039
209762,746127
209067,745732
209067,745732
210537,745923
211314,746379
210965,745947
211740,746122
210344,746167
209234,745248
210672,745783
211177,746600
209752,746120
210203,745135
210370,746389
210151,744952
210537,745923
210290,745260
