x,y
213728.5295,735021.1712
212001.8923,735609.5347
222880.3112,730252.6603
182318.7008,674232.8931
224060.5251,745173.9871
190259.3256,709145.6451
179767.078,629881.8203
179573.8014,629574.3009
190137.1806,685087.7517
186371.5138,676922.3283
189129.3224,692114.6216
190635.7338,692218.928
188314.6201,691125.7985
187994.2332,690949.9695
186790.2984,687743.9881
210152.5824,729850.448
194291.9805,721833.4521
194594.1747,706743.3066
189955.7514,705022.6939
190947.0354,689958.8356
189111.1588,678424.88
180655.3995,572546.4408
179146.2673,629224.5852
187705.4385,691973.8506
184252.2263,676174.9096
187570.942,692378.8549
187576.068,696420.0846
239642.8675,732317.1292
182366.3688,665996.5619
181593.6564,665791.4498
181961.4482,665704.7464
182408.7983,665981.7919
181582.4135,665530.3185
187326.2237,690079.3387
187601.9766,691913.2507
188227.6572,684610.5334
188360.1273,684652.3761
188621.3857,684731.8749
189077.5025,680725.8294
188090.2915,692262.0065
185768.8925,685942.3049
196043.7965,387047.7215
195301.771,385290.7542
190077.6234,687874.4331
191112.588,669192.9879
187700.4883,698983.3171
179607.6378,573501.2999
179151.207,572706.5919
180309.6688,571839.646
180320.4752,571907.0083
181337.5911,572275.3579
181843.2028,572538.4025
181997.8516,572682.3352
182201.8201,572755.6993
180549.1525,574176.913
181642.6825,572607.3219
178170.9532,573630.8576
178124.0469,573562.1976
181308.7571,572919.9932
182074.32,673723.5585
188327.2415,691267.0069
188421.5697,692172.299
225351.3046,752091.582
184712.7703,683933.1167
176131.0503,660194.1017
221149.1632,631377.0816
217421.1637,719554.3365
180727.4818,667109.9351
180575.7773,668012.07
251349.7216,757872.6086
252902.2654,766195.3592
253913.154,772329.6994
241793.6642,713075.5857
195404.5742,735093.7991
197546.1173,734836.3481
249222.5836,712917.4017
248708.5471,743958.5354
228420.8892,723594.2865
266527.764,765765.3492
251508.5931,735746.7082
251531.0722,735474.5705
239049.1498,731426.6412
186897.7635,685358.7283
179610.9757,663938.2756
187379.8627,666481.1405
187100.3933,687144.3691
187023.2789,687304.7594
205915.5399,422785.9348
182401.0014,668020.252
182367.6598,668058.0879
192656.1399,707878.1824
192462.4226,635852.9011
195064.0502,621539.1313
172143.8758,617152.5634
145925.244,577951.4205
185832.1538,691543.1452
201633.4205,646870.6272
189816.8917,612805.5453
206114.4342,727126.4847
204929.8608,733037.4273
186926.586,692746.2466
177840.2987,662827.6364
177665.9504,663532.904
187031.3799,692663.0702
188185.5708,666403.1834
192113.6973,683848.2448
195168.2767,672503.9783
189928.566,675674.5302
183550.4784,666504.7048
185253.7393,666661.7623
253644.02,786141.7729
257798.7289,792081.1278
248671.774,750056.5382
251601.7096,763314.8885
196153.9421,746466.3522
223566.5875,774102.2851
253454.4544,789759.4881
178408.683,664165.01
194835.1139,666250.5534
198479.3837,680763.443
181688.11,672779.8217
183367.9493,678652.0887
206265.997,711566.5696
198369.7297,681048.0993
195708.5815,677820.8138
180343.5223,571850.9849
180298.3436,571894.0735
190574.2616,688247.215
194402.6941,704079.4069
194506.9065,704111.2854
191863.192,705127.0169
191776.3794,704883.648
241033.589,735266.0584
258488.673,736407.5237
191516.2897,696043.8949
191581.4171,694628.4984
193015.5416,675376.5554
189972.3312,675581.1977
169480.7602,632811.5653
187504.6469,583714.5293
183075.8335,642297.6457
180274.5491,670742.222
219701.0565,573626.5863
194586.9953,666726.556
177985.4042,635018.3828
158725.8643,610806.5963
190331.836,579287.3478
190312.6934,579826.5425
180246.5157,576369.7304
178610.6509,664992.2429
179507.6557,663449.7457
242049.2945,769177.2747
233436.8947,768734.8107
185236.9869,669009.4347
199050.3411,707221.1497
219029.189,748211.1283
238697.8604,731719.9645
232982.685,727614.8338
199531.7506,707928.1699
212015.2333,727958.1332
221038.1173,731186.1285
211542.6491,728780.7172
206081.4741,740098.8431
223200.9805,741052.4272
199019.0315,745412.7784
237172.6727,741992.0517
223167.814,720986.9894
224659.9565,628823.8803
220666.2661,642441.4935
221367.8579,641796.9884
221297.5838,641814.8946
220888.2412,642162.5003
223843.0405,635173.5351
235233.7205,561861.1599
177426.0242,634261.4581
177439.5737,634182.0071
180872.8222,664664.9186
180741.9349,664306.4576
181001.8362,664356.905
185345.8771,664596.5628
227191.9353,752205.9836
200994.9381,741622.0793
227421.6962,724759.4181
237181.9659,717413.8599
241007.0831,716714.4811
247156.2023,735317.4322
211512.4443,757914.7212
188786.4584,692146.8528
261294.7602,751930.1965
242370.2724,712709.0287
191839.7004,699911.665
226333.2223,768946.3778
230873.1653,765545.6503
226555.4077,765412.9478
215378.7132,768880.4372
224665.7992,765787.3691
224851.0306,769590.3816
218330.54,734296.3367
219933.7029,737754.7414
220851.0419,736545.5768
183416.2328,674542.0561
188816.8472,666361.2987
178910.9676,666939.8356
190381.7204,667562.3742
189968.8064,667892.1556
190357.5457,667136.1329
190303.8754,667150.3697
250884.4153,743914.957
250866.5525,743479.9582
195559.0133,385902.1922
218533.2452,503347.9053
223247.9086,523169.0194
201502.0481,552578.4926
201559.8327,552535.8532
201747.63,552305.0676
185310.6624,569947.2982
179027.3376,661724.9958
178479.4293,662415.9441
178163.5713,662161.8118
186625.9448,657336.5793
178050.6157,661559.0948
178215.641,661471.2983
201664.3977,745114.6465
220442.5693,629498.6618
219147.2168,631293.0414
220060.0017,628568.23
221061.325,629128.3658
218010.8123,632903.6966
180044.1183,662374.678
184160.1779,674471.8308
186275.9754,675403.1492
193965.3785,659673.6224
190543.8905,691457.3078
196166.1155,747202.2339
196934.5897,744045.0962
196381.9482,745445.7528
197785.0347,747315.4273
198273.0197,748381.9044
223010.2563,634222.2681
249183.0388,756661.1275
191018.9077,663487.096
191109.0702,662027.3156
191568.0189,661607.4282
178189.1057,545971.737
247400.2509,748500.4377
249963.0649,752571.7327
183179.4743,557082.6499
217333.4477,722161.4378
222716.6822,636976.8347
199445.5552,629085.2028
165354.5053,607501.783
189982.2383,641072.9133
197937.6523,638238.9859
187801.6368,647392.3281
201775.2258,745862.2317
201874.0168,745768.0768
181954.4141,656662.2478
196609.213,668436.3307
202382.1481,635866.4229
214272.81,634147.725
177568.7248,642731.4543
182370.9041,657971.0227
171684.0377,614180.75
181125.6376,657631.7596
192265.1313,654523.1268
191043.2744,655351.6651
193608.7357,713667.811
179532.162,531587.9187
177722.9228,522523.7658
181132.927,502529.9842
