x,y
221339.5726,624339.2204
218728.4573,625382.9046
216576.8162,622437.9885
216669.1636,622426.5756
217017.2062,622866.9356
222346.4576,623008.0721
216965.6547,622324.2772
216994.8157,622277.3226
217296.7289,622180.3659
216104.662,618747.5682
216186.5655,618776.7261
216225.4804,618814.3473
222635.6513,623211.4604
220473.1846,615757.5585
216755.0411,617276.7513
216040.5426,616798.0751
216006.2766,617357.3852
216385.8099,617355.8131
216633.4459,622341.3942
216670.6088,622160.2352
216441.7246,622234.5797
216389.2462,622323.146
213732.8862,617408.1004
217067.8922,622518.841
216993.9125,622863.537
222928.053,623567.1111
222353.5512,623946.0647
234239.3713,693469.5315
236424.5746,687340.651
233804.31,694685.2695
234416.7489,693316.9697
206586.7466,601132.2306
208203.0767,601993.146
204954.0005,605197.1948
210834.8743,601959.8432
209924.8402,601548.5527
209081.7199,605797.2762
210414.1451,602120.3434
207546.9555,601799.9029
207979.9912,602024.6465
210117.2943,594534.0114
209194.46,606447.3105
207924.9342,608047.7256
206185.2968,601502.6065
210405.6494,602225.6753
210145.9004,601592.7489
210277.8091,604389.184
207693.8385,608150.5603
208844.2929,601706.2483
212921.5707,596221.9106
207611.6065,608177.7197
208675.2398,602322.5577
208830.3208,605215.254
208197.822,601244.7258
209680.8935,606771.5103
208626.2652,602105.6393
207922.0123,605311.135
210151.7305,602259.5399
209066.5894,603330.5886
209816.0227,601612.1425
207879.2523,595162.6835
209216.7181,606053.2423
208319.9147,607702.6338
210227.1107,595793.8036
211989.3163,595892.1291
208635.5488,602062.697
207316.1606,608289.4292
206659.7512,601554.4255
207982.7528,602772.0945
209899.7106,601721.4036
210067.1329,595815.2793
210418.8761,602252.0975
208194.3351,607894.4704
208230.0761,607882.3236
209053.0824,601057.6366
208224.7005,601899.3518
206537.4128,601247.3735
206492.0432,601569.9343
208582.5929,602456.1642
210552.2499,613859.6273
208428.1474,602453.5103
208910.4954,603544.1227
210291.9513,596083.4168
214093.8392,614755.1859
205834.6575,601326.5942
210130.2253,601676.9205
207769.8356,601937.6955
209323.9896,606578.9536
210338.7387,601847.2131
208945.3245,603506.7099
208493.0059,601921.2085
208630.158,602058.1566
206681.2324,601401.3853
211540.5147,639026.6481
217951.8249,644204.6624
219850.7546,639754.2523
210499.2984,647389.0616
220671.648,646933.1792
209877.2004,649916.2595
203531.133,650181.6324
221123.3141,646784.1891
216301.328,645580.5466
221177.025,646854.0786
228110.4485,651428.7565
206045.0985,644718.6048
221697.9848,641372.7291
216267.5328,660927.6586
204018.7758,650566.9069
202988.5382,654455.3416
219637.5136,652735.532
219762.9698,639749.1153
212990.417,638525.0201
227034.9327,627744.1587
221084.2318,646730.7245
214033.9841,637766.1178
216348.0962,645553.6757
207662.2284,656619.9145
221348.4175,646846.3135
203395.0338,650336.9655
211390.73,638550.2683
206195.0501,641656.7426
220648.7843,646964.1915
226786.6502,655413.9756
221069.5929,646715.4088
228512.2131,651599.0499
225783.7318,627813.5827
221147.8636,646636.8695
220730.9185,646883.1434
223664.0378,649772.9695
206516.6367,641256.2338
229518.0273,649773.3663
220388.8504,639757.1368
214358.348,638153.7059
216571.025,643066.1039
225001.5252,628164.2565
217701.6802,644386.3113
215941.6825,644884.52
221467.1203,647072.5999
212432.9863,659901.2966
221015.3366,651897.3744
218500.7684,640367.6738
221122.2866,646821.591
220739.6418,646784.9767
223531.6237,649558.7933
210840.6804,639712.4604
214557.9198,637769.004
203631.8627,654560.2237
212250.926,638401.6863
226916.0152,630176.9717
225429.9777,635900.2848
220658.796,646839.6117
204235.7506,655405.5719
224896.3366,646463.9815
220971.2796,646870.0582
225492.1088,636028.6369
223944.4585,650894.0897
244916.7429,651907.9485
242207.6549,642460.5309
242330.1385,642828.437
243946.6046,650607.8222
244457.4633,649838.6062
242496.5572,642646.4337
243121.9113,643216.2734
206599.8408,699371.8751
206590.2013,699449.5029
206396.8424,698429.0965
213117.4557,689138.5927
204590.227,692187.8635
218142.7324,625084.7537
221275.2984,649180.6854
232092.0415,564393.3125
225508.7931,636122.6216
224271.1317,637436.209
225417.301,635865.3598
225940.4267,766597.7146
200971.5915,747518.0273
162471.4547,603628.0624
216055.9255,683845.2642
187016.441,688191.5192
189141.2321,692145.326
195785.5802,710852.0444
196299.9651,743974.4719
181564.1685,671881.4164
217180.4066,632011.2956
191209.3775,708949.1529
190260.2281,701429.862
196188.7964,663996.673
177413.1594,633817.372
176656.0989,631730.0809
155122.142,604137.011
218141.4382,632696.4698
176307.1135,656839.9989
183217.1173,671641.6582
211630.3367,632447.4962
211320.5891,632395.0883
195521.9786,713073.1668
205662.4309,745537.0215
181017.8477,647978.6996
218390.9139,573008.0442
213866.9602,545069.5461
208447.7206,548243.0368
235074.5548,549809.5563
180161.2153,562292.1106
191372.3831,384284.8416
248895.0244,555305.6016
174779.0888,644094.6947
251693.2152,764010.3419
225727.606,769707.0096
178582.7388,654427.8655
209223.3625,770266.4781
208018.9905,758428.7798
208487.8909,756918.9395
209075.3728,755427.5653
225658.4732,753284.9567
183670.8787,648253.7984
239137.0909,664272.6346
208329.0165,724162.3151
180304.6354,647820.2663
210226.8487,729838.8675
190426.4721,659560.3207
178878.864,651549.4653
173156.7227,649501.5209
180686.8231,645113.3495
179969.4143,644981.8994
236744.4219,719061.276
190825.5383,670860.6375
224874.3549,751569.8423
210313.684,734347.5871
228957.2999,758709.4179
219906.2786,778975.0355
169247.7191,638701.4039
243143.1746,743749.0037
195882.0775,386339.1023
195862.2044,386358.7417
189594.8486,647965.1288
192256.4286,685416.6195
163810.17,581223.8489
190605.104,640630.3245
190487.6896,640800.301
