x,y
221801.0856,631194.7164
222452.8392,632454.5283
182934.0892,646017.7048
221317.359,632194.7807
219224.302,631213.8904
187083.4047,694320.9506
181814.8312,668969.581
221194.1148,631403.2355
180842.8211,647816.0397
216421.5662,631283.7703
216601.9412,631317.5494
249489.7728,750008.5379
180628.9461,667767.0493
183489.3512,661547.3568
182001.1141,669019.7931
255583.6882,615292.8364
181322.0805,502065.3818
195056.3383,384908.8942
199925.5864,747518.1063
191528.2573,713460.1057
176672.9284,662327.942
180977.6157,656768.4654
188448.4624,695374.8838
138473.8711,591701.1349
195428.6528,735482.1737
198913.5658,746093.3308
199925.5363,746187.2697
219288.1848,631208.4115
254188.3338,793218.7514
234049.4754,635993.592
187178.8277,587562.7768
222277.365,631372.5162
182826.9586,663117.2644
183055.9435,666837.7843
185450.0899,674309.0065
234345.246,719325.4782
195765.9977,720002.3156
206800.4368,758670.0551
200926.7624,746305.6753
219043.5195,631712.5969
210188.773,745549.7847
254698.5894,793411.1861
166034.0716,634140.7211
177103.8426,658678.9944
253839.0429,769768.9174
257066.8948,732396.5664
217292.2682,631106.6907
181664.0614,652386.9649
179512.2911,652878.6992
191003.4583,674304.1561
171045.0138,571649.9145
252304.6362,780060.117
191562.1146,713420.4316
219835.4558,646532.7588
222125.399,632177.8711
222302.4192,631510.7954
198275.129,638527.4203
179147.9255,657629.9264
192523.976,684200.5073
219172.4177,624913.8034
219266.0265,624957.0678
178444.7694,658663.4393
217418.1756,652302.153
211618.1762,763381.9697
219314.9749,623758.2566
224704.648,629086.4533
183171.819,659710.5061
264669.1909,766785.1823
172994.9338,549787.2373
185357.4777,672643.0523
220870.7403,630345.797
189433.5801,650983.4207
172095.3671,649127.9694
180246.5483,571800.1979
193847.5117,700430.6386
190834.3919,708119.8799
177407.7107,574634.2695
221999.7524,632159.8982
158107.1677,610659.2492
158041.9478,611025.2098
268701.205,660721.7647
269007.4788,660688.2609
268711.3977,660815.5297
197712.7448,748263.0223
197594.2289,748389.1589
178597.4927,665859.1647
178520.3214,664479.8722
178495.5265,664386.0238
217958.0173,684414.8457
209956.5531,603768.789
218756.0834,645791.5562
243449.8572,640617.5724
202861.9493,691131.9746
149323.3597,601605.5176
261502.7744,794035.0189
186379.5983,659255.355
179303.2774,664580.6069
180001.3423,664993.204
220790.7469,631960.2125
221438.85,630726.5549
220342.999,632222.006
219263.1611,631353.3262
222126.4079,631427.9291
221572.5704,632620.1927
216918.0251,627844.4888
220397.6219,631910.3045
178095.5891,663159.9505
266798.3146,565601.8876
182518.179,646585.1162
219895.5346,632587.1076
177356.6985,662977.3197
180798.7517,648303.0992
180802.935,647988.1019
178521.1673,664530.6131
218453.5695,572964.9521
218457.661,572917.209
275412.455,625049.5483
275473.9616,624988.671
275174.9591,624746.1258
240485.7066,732485.8027
183277.6456,664936.7279
177442.895,656108.1059
189922.375,636811.1833
195076.7861,384894.4952
195129.902,384914.4769
189933.9234,711990.2934
181225.8667,667792.4348
176919.546,662468.4752
179868.625,572257.5191
194599.8512,685919.2137
211326.1708,604087.7499
210927.4393,690597.8093
182122.9849,647080.869
182470.2413,644819.6728
220669.3308,623459.5753
217772.4714,621910.2674
238676.2526,742441.6991
184394.0006,575377.5879
183330.5436,665143.2757
220902.4649,631978.7563
220959.5925,632283.7956
220262.8307,630652.6248
181205.8991,667974.684
241830.5903,736317.4034
190996.1537,636309.7335
219912.074,574093.5987
188111.8159,665836.4782
189127.6585,666066.2513
195952.3422,719809.4435
256326.2152,774180.8358
228349.2258,734530.6336
199766.4979,381560.5664
206789.9912,758744.6962
207179.0301,758781.7563
206836.1213,758714.4377
206872.7691,758700.3725
209256.7564,762845.711
201985.5731,740963.3235
189433.7343,686284.2576
221953.1579,632994.5898
221928.7333,631687.9472
189041.1382,666007.0384
220896.6042,632300.7407
188174.2716,666154.5664
225669.303,678855.2306
169898.0356,617394.6179
192851.7996,704252.5888
211303.2044,727779.854
185132.107,675074.1186
218717.6124,645781.0136
181902.4834,652373.9778
195383.0635,715607.48
195399.8029,715653.8397
178374.2562,662665.8302
198563.539,734066.7107
194243.6569,676538.2976
190848.3552,707774.4493
186331.6813,693254.6881
149226.5293,601743.6386
149697.1136,604064.9899
179573.906,572374.9315
178512.1808,663360.9129
184805.679,640209.3774
231722.2472,764654.9142
220940.9275,631931.1481
149855.5563,601355.0436
209856.4469,772709.0192
216401.7819,777020.6047
215443.3815,668269.4286
257123.972,793673.2964
203194.204,553584.044
219040.5975,653062.823
219195.47,645081.0211
218560.7695,572941.0267
178491.5149,664496.7327
135756.8811,587747.2575
219374.0407,623712.5057
266852.5017,565734.9626
247878.3126,551048.3171
263893.868,728976.0014
188991.3833,666236.4104
202100.1459,602448.4313
222194.938,631579.4812
227634.0812,733948.48
199653.0583,629114.8963
232761.8658,688563.3974
178314.8419,663397.437
219414.005,623484.5638
219508.0616,623580.5107
178603.358,663411.0917
219541.6073,625025.969
222244.2508,631998.0374
242686.2749,712295.3865
251059.9463,743815.3802
219547.1517,625067.6389
216606.1911,631203.2712
199732.6834,381439.0605
222401.7135,631490.0548
215358.777,602257.3418
253541.1728,736461.8628
208093.2031,606493.9167
182676.6941,643840.7268
