X,Y
191468.2249,713198.0871
191323.734,713144.7061
191365.8699,713161.9656
191228.2941,713308.7051
191302.7347,711620.4676
191410.7898,712038.8498
191390.0656,712313.1149
190104.193,711451.7254
188299.1873,690919.0153
191907.7963,710261.139
187988.8253,689435.247
186795.8783,696945.3712
188266.5141,696549.1802
210357.5909,777513.7434
209913.1709,772047.3173
187294.2938,692826.8975
251708.6589,763747.942
187242.6274,688407.8946
188115.633,685893.961
189706.323,691752.3169
187584.1367,698437.1421
187566.1535,698368.8757
187736.3259,699056.4069
186405.0977,692555.1273
196923.6899,743849.0448
261194.5735,732727.2024
210219.7741,777459.6386
210300.3392,777018.2072
199368.0332,747305.3343
179233.2485,666993.0497
179388.1764,666367.3149
194995.9799,384704.9225
179818.0895,666960.3043
254655.1994,797304.4247
254563.2454,798609.5044
180456.8086,661031.5571
188573.7137,689957.7754
186998.3354,689270.2646
206907.0003,626882.7179
178204.6176,665269.2918
192863.5924,703662.2538
186416.9469,688227.9057
202427.6866,629285.9267
181789.2446,525402.3429
178773.7818,528766.6356
190898.5525,690755.5415
196140.8012,746242.9463
189400.1971,704325.7543
189177.4476,704043.7682
189546.4232,704119.8587
195915.993,702574.099
188028.9463,695044.9369
190775.3514,695076.9478
185853.1826,686852.1495
212391.8344,734425.8747
214175.6005,769226.0275
182554.4374,676965.2825
182641.6457,677130.0976
182696.7654,677153.263
183067.366,676219.0781
183210.0751,677173.3726
189052.5392,686061.9334
189119.6049,687371.1186
189344.7944,686964.8595
189655.9332,687998.7831
189995.384,685585.4908
188066.0581,688037.2093
194714.9009,699561.971
185790.3213,686902.3168
185680.5857,686807.3687
185886.8881,692616.7996
185594.8899,686906.0081
185941.9539,691727.1218
185909.1332,691581.636
178146.3903,665068.646
194483.4662,665459.4735
194417.698,665408.836
194327.2336,665527.6008
194642.7224,667134.5535
194946.8065,667240.2496
194459.1897,667288.1982
185304.8743,688266.0031
192158.381,690446.1529
191968.8388,690007.4243
191860.9846,689946.7707
192148.0535,690513.7601
200679.0628,722325.2438
225651.3589,753228.0366
274802.2342,787049.4844
231245.204,717908.888
193713.3751,657946.285
186558.3839,659824.7543
178204.7792,665302.1819
178278.8701,665335.8707
194815.9512,384887.0821
194905.7327,384862.8765
225011.7525,529682.2893
205889.268,422849.6736
193353.9539,383991.5171
193317.5322,385145.3655
195028.071,384539.9235
191625.1709,379632.0673
192018.4421,380155.231
192131.1702,380312.2708
191592.5228,379553.4801
186406.7387,692233.979
186410.2759,692255.9802
186738.3755,692700.2347
187754.9041,684321.0061
188464.7578,684219.7894
188446.1359,684213.4146
195466.6279,666332.0696
195667.86,666107.4322
195707.8578,666232.3235
190297.6711,693472.4953
196144.4117,666300.1998
195717.0251,666831.7546
187214.4299,692717.9202
187235.9259,692655.9274
192979.1207,703740.9738
192905.2351,703582.0873
187932.2911,694684.9379
221491.7038,631570.0817
185565.7675,671900.3617
185514.5716,671798.5225
185217.4252,671481.923
185015.9522,671391.5832
186427.8505,670735.6483
186375.6213,670614.014
186505.8387,670557.2579
186476.1877,670353.1127
186666.1238,670752.6086
186728.8533,670898.2962
187166.38,671208.0162
186892.2037,671072.6709
220439.0121,632030.4069
221582.793,632192.0267
219531.1982,631900.2823
220612.861,631661.1145
184933.3746,672275.7774
184869.6411,672109.1672
185004.9615,671656.576
185128.0031,671640.8454
181940.5581,661195.7333
186432.21,692682.8236
187092.2646,692772.2178
186922.9059,692939.3612
184472.6405,674455.446
184512.2774,674447.2476
184446.9094,674507.9096
184273.6345,674738.135
184243.7646,674760.7943
184327.8444,674727.4679
184245.9233,674684.2483
184279.5323,674670.7914
184641.6825,674877.8668
184481.9496,674808.3203
184305.1474,674718.6861
184581.1841,674944.1446
184772.1049,674427.8264
184789.8424,674406.8181
184895.375,674605.5779
184775.7512,674785.5551
184353.8311,674514.6738
184875.2143,674009.2638
184905.2714,673827.0752
184612.7866,673771.6744
184580.3265,673516.3439
184644.6005,673555.4904
184975.3571,673934.0705
185140.0925,673565.9911
185213.6756,673563.3474
185095.2838,673965.0134
185046.3123,673874.9456
185105.356,673830.4107
185149.6005,673532.1367
185171.129,673912.3934
186868.6008,662106.4654
186821.9441,662217.938
193878.6685,659043.6424
186637.8173,693499.7763
190973.8671,692157.7628
190894.5952,692169.0431
190840.3171,692174.7306
190921.2003,691437.8919
190527.7662,691295.4694
180391.1063,665429.3268
181784.6571,669598.7092
187152.0402,662621.5164
188050.411,672599.6608
210885.3253,744754.9425
210840.5107,744642.4601
210931.4479,744625.3801
214176.3061,634191.2518
180982.7816,665041.8906
191137.7121,674488.4829
191129.9968,674529.2685
186303.6787,659268.6088
198934.0562,745392.0933
199185.4909,745730.4726
191017.8211,674302.8738
190810.4081,674322.0868
186573.5726,692588.2779
186629.0946,692766.5283
178352.1326,522565.0489
186164.2461,659150.9976
207745.8309,718544.232
222602.0152,634249.1357
222671.0658,634349.2524
223259.7693,774533.9657
254386.9255,797821.1659
175860.4181,660114.8909
187282.6894,661982.3166
187248.4071,662036.3732
187281.8587,662039.2949
187077.2912,663043.2168
214348.8339,768444.5151
181722.6365,646381.782
251817.8671,763860.6382
233048.0721,727657.8409
207291.862,634044.0189
186721.0199,658881.5295
186716.0672,659089.9195
186288.0853,687488.6693
251664.6996,753280.7269
203164.7024,741541.1899
192502.2797,667447.3312
183951.1583,667876.2538
269419.7564,767239.2705
218087.927,771955.2123
217045.8458,771913.8674
218839.464,572958.9573
220252.224,575157.1884
189710.2322,675680.6681
201424.8677,644982.7876
201381.6218,644958.7792
183282.4722,677583.299
183142.1007,676356.5623
183083.9373,676361.3062
182218.3358,674899.7636
269354.3299,796283.1054
198675.4953,628279.2432
198832.086,628298.9215
198591.4904,628791.6098
179329.2695,663798.5036
197928.468,628632.8218
198231.3881,628712.9956
199852.4699,627913.5058
179363.0068,665515.7818
206112.1197,749842.3285
201479.7008,742036.1181
207417.219,750181.0486
201057.6086,743049.0973
278758.3967,772225.6741
178450.2288,542487.1917
202621.2229,742527.1632
215484.9707,630414.0267
251580.6471,765385.0121
251324.9318,765151.1088
251542.9724,765177.2707
251700.3325,765894.9341
201135.6193,742537.1165
201097.344,742398.6482
200981.3847,743776.4485
200890.3286,743905.3543
247278.4054,763906.3837
247325.41,763814.1759
204796.7094,741760.2921
266116.4999,765984.854
179704.1753,644375.5179
213933.5074,775079.9687
214086.5727,775229.4749
214247.11,775321.0973
195931.1498,385202.6392
201193.5639,736464.8485
226063.6926,766804.0921
224189.5167,767319.7318
201505.6567,737561.0832
196312.3952,747813.6232
225323.0993,768939.4011
225194.44,768739.6945
225322.9079,768477.356
224778.5475,769191.6794
210560.3934,770043.053
209310.3549,770261.4082
209240.4823,769057.9267
209688.5493,768324.9923
208912.8967,768208.0339
209976.0555,768710.8521
208557.2443,767566.6205
209600.3684,767888.9539
209536.3297,767797.5543
