x,y
195290.9176,385589.2334
195624.1895,384668.0932
189030.8434,676221.8541
221139.9661,632127.0887
178964.4205,666383.1302
183127.343,666310.1932
218097.6096,622367.7431
218055.0697,622436.1855
227195.9822,625646.0101
232918.3977,695974.7592
236174.0477,688504.2378
226067.3931,701970.4145
227397.5391,702382.9759
227605.6619,706218.136
221397.9059,692857.3971
214846.4773,602845.3394
209108.0272,606392.6546
207991.1117,603065.4621
209865.6088,595753.0934
202961.5039,613616.6342
209280.2994,606177.9978
228312.6636,665777.2162
232995.4454,669621.2685
226189.3807,680073.9073
225038.0491,680902.9556
214752.5117,614697.3186
206111.2722,589867.4093
209025.7844,604949.565
231577.4987,676335.0842
213739.5981,610155.6621
221433.3355,681442.5526
221705.6331,681372.8473
208929.8907,604887.1585
208994.3891,605006.8217
210040.8455,595260.5334
221320.7217,647015.5988
215984.2971,644038.5335
209908.9273,660633.7813
217293.2677,644357.5922
216467.0699,660956.9947
227299.4712,630144.0687
217316.8719,644813.1406
216259.3289,645581.4578
220008.001,645748.002
219671.6157,647481.4764
223310.3846,640330.7396
227981.6396,658928.6943
219790.9226,643130.6051
204584.4123,673130.7055
197712.3541,678114.7856
197397.6529,677517.1685
197565.0255,677374.0765
198280.5172,677180.7805
198381.513,676721.832
242163.1328,638234.6413
242539.1185,642578.8218
243982.3768,650708.4834
242102.6742,641742.4076
242135.2759,641887.2753
243650.0955,640409.1761
243433.5884,641165.0258
242883.5162,643249.547
243426.9728,641432.9236
243426.9633,641432.9235
215599.5348,666440.8304
206865.2497,681337.3989
214358.9485,664015.316
203627.1684,693366.4591
210747.3415,697294.8424
202991.1221,689935.5953
207039.0422,696593.1977
203104.519,691628.1619
203716.3432,690296.9837
203307.0417,691703.8758
202466.2637,690652.6173
211945.7584,690049.1425
222090.4302,710679.9003
227879.1018,707796.6238
186446.9598,689029.5571
191855.0486,689970.0083
185543.7866,660436.2668
221722.3174,631427.8102
220351.6435,628654.951
222200.6365,632340.6355
203205.5409,552924.1925
221821.719,634321.1016
221782.7564,632369.0853
183245.7788,676941.0337
227764.6392,630628.4858
214460.4354,618203.745
175379.6257,655996.7468
209430.9923,712534.6272
179088.3684,652508.0931
199836.5266,670833.4293
201347.3466,646243.4083
215106.5083,709690.0706
220763.8836,623513.5424
179150.2175,572811.342
227529.1645,723896.5119
225228.2664,664399.7178
220132.3797,668039.428
179775.7087,572180.931
182479.747,658850.1476
177898.7662,657744.5051
183453.9091,669608.3651
187992.4057,656552.2898
210969.8571,690576.6594
234513.8,567038.4986
209495.1124,608611.016
211981.0233,603396.0234
158537.0622,619507.4521
222907.218,631104.4572
177252.414,657967.8412
224746.8416,641478.5008
219919.4482,629872.658
220206.8308,573867.098
219629.1821,623567.2393
195731.7315,682342.5004
190533.879,668136.6349
189312.1324,666291.2229
222132.3006,632372.9624
221763.5615,632394.1298
178291.5859,666033.7552
191096.0228,666025.3152
197960.0523,591245.3798
197962.3355,591245.8741
222870.9758,638812.3869
210575.5376,603513.3519
192463.5563,684491.964
189672.7204,704886.2049
218504.6601,644979.4903
192903.0862,662187.0912
219426.8302,645852.3312
223070.7959,631443.5079
189239.1129,648869.6238
208069.5956,605234.2766
194575.1391,655172.1866
221445.5578,681459.7765
223372.8633,681843.3813
194887.377,688021.0376
189501.4221,651188.9317
204086.3924,692060.3362
219647.1669,647532.4727
219719.3106,623320.0281
215198.4782,637623.8031
221729.0732,681049.1591
216277.28,705476.0128
233241.6417,670275.0433
218528.3252,644940.7334
218442.5061,652687.1562
176689.4329,662459.8236
178834.3539,667256.9395
222474.1467,710580.1461
197687.522,677115.3676
204146.3317,600289.6864
204995.4474,600550.6702
197751.7184,677095.6465
197688.9464,677089.2162
208517.5622,661817.0991
197729.082,676724.029
197793.5622,676765.3315
199893.417,677144.7284
218055.6715,622469.7274
209852.361,601109.5145
217495.2876,644958.9867
189024.306,666341.9691
222039.8164,639709.0731
235451.9972,692150.1995
235457.1695,692142.5227
215835.0068,644923.5336
225894.0994,708908.73
234407.0666,693065.2588
195331.1286,627405.6767
227919.4565,708238.4795
234736.492,690519.9149
232411.9936,687148.2555
198007.7674,591262.967
243395.1173,643008.5837
180910.749,572607.5494
217124.3171,680161.0517
206491.6972,687396.1814
207208.3268,668479.094
221457.6859,647872.1343
220498.1618,692617.0129
176734.3997,590219.7868
179289.285,663119.5135
227760.6861,633946.1842
218291.7643,645800.1478
186264.4012,692974.8085
206025.9403,681878.8329
209942.4304,634873.7173
246626.3569,711866.8043
194555.4301,719889.9791
191902.0266,704837.3912
182171.2171,645271.7399
217890.6232,624840.3917
184609.3043,567560.9398
224192.4745,656857.4805
208522.2871,610449.2335
224958.0532,769045.5599
210477.2324,729267.6049
229700.3817,734110.3565
213952.7782,775307.8938
226882.4545,768568.5217
210343.8419,769523.4898
197358.8663,746423.7646
199610.63,746849.2216
200127.8492,747180.7967
212492.7959,736320.0186
209771.5979,767865.5489
206979.1398,758746.6065
205989.3105,734631.3081
206882.2263,759177.6383
247314.1301,763958.0785
251681.6866,763910.9092
211723.2803,747116.8599
270921.8683,792821.1319
253341.1643,790860.3234
