x,y,avtala
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.04
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.04
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.03
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
192480.4567,684407.1162,0.02
173197.8992,633415.377,0.03
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.05
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.04
173197.8992,633415.377,0.05
173197.8992,633415.377,0.03
173197.8992,633415.377,0.04
173197.8992,633415.377,0.03
173197.8992,633415.377,0.04
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.05
173197.8992,633415.377,0.05
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.04
173197.8992,633415.377,0.04
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.02
173197.8992,633415.377,0.02
173197.8992,633415.377,0.02
173197.8992,633415.377,0.02
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.02
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.02
173197.8992,633415.377,0.02
173197.8992,633415.377,0.02
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.02
173197.8992,633415.377,0.02
173197.8992,633415.377,0.03
173197.8992,633415.377,0.02
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.02
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
173197.8992,633415.377,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.04
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.02
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
193789.3813,691409.4079,0.03
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.03
191662.2182,690309.863,0.03
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.03
191662.2182,690309.863,0.03
191662.2182,690309.863,0.03
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.03
191662.2182,690309.863,0.03
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.03
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.03
191662.2182,690309.863,0.03
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
191662.2182,690309.863,0.02
189481.6015,686635.7491,0.02
