x,y
191313.9634,713205.5835
190238.1369,709148.8119
200258.9681,733083.2285
181410.261,675842.1073
181506.509,675924.9283
182011.073,674172.5881
182163.6138,674017.7961
221477.4104,631617.4818
178301.7117,665247.774
178272.4613,665245.2752
178790.4815,666312.4308
189798.7759,692745.4004
187144.0029,687571.5849
221149.835,630977.6111
185120.1325,668504.9588
179711.5913,663258.8794
190886.4728,690773.2746
190591.4396,688229.3452
185721.5561,691600.6588
219747.4146,573643.895
197540.1359,748515.5977
200204.3573,746087.6098
245003.6551,470663.6121
187081.5439,687239.1336
187077.4626,687220.8601
187076.215,686946.1001
196154.833,746442.9495
237185.6544,742041.5928
220674.574,623451.8918
221627.2902,623860.3294
220774.8924,622672.3766
221423.3656,623891.6573
221592.7273,623729.6912
219424.9086,624144.0503
219410.6998,624187.583
221988.4586,622941.2158
221467.3345,623529.6557
216980.6741,624904.0281
221662.368,623884.1212
217109.2087,622603.7232
222642.3513,622880.522
216723.6673,705736.5308
234527.2283,692640.6022
235227.0799,691651.8536
234745.4434,692394.2133
235018.3388,692111.5623
236339.6457,687758.954
235145.8901,691045.8248
236542.1388,687566.8831
235105.3736,690981.4434
234877.2151,692218.3584
235163.5559,691058.5163
235165.5045,691942.2999
236416.5601,687417.7418
234774.4439,692332.5891
234960.9412,691870.2462
228946.057,707997.8435
228953.5493,708018.2777
222119.8158,710377.7815
228823.5847,708220.8629
210473.0697,602385.8046
209070.3006,595499.6765
209397.5542,606251.1755
209596.1904,607113.39
209561.2457,607028.9324
218274.8262,679542.4982
215713.5075,690402.3782
230973.7288,679627.5953
209147.2105,609967.4156
224553.8049,680977.4526
226751.3558,672084.8661
227432.0476,680029.5653
210312.4513,602028.3024
231843.7467,675852.0415
208807.7527,595430.9192
224043.9115,681774.8878
202818.7161,611621.7259
224923.6842,671506.0125
227132.2695,674328.7096
224615.0009,673339.5479
224690.4704,681142.2079
220590.4952,686630.1319
208889.2449,603568.5822
232721.4063,670340.6306
226774.6099,679687.1345
225642.2357,667527.8657
225434.2177,684180.854
226522.492,671751.046
231179.0632,665837.7639
232727.8275,670322.7967
208472.5234,595145.5325
215291.5858,602673.9538
227402.0432,674283.1858
209540.8448,607370.7628
218319.6372,686926.2936
224515.2829,665778.1593
215643.0867,690391.049
209663.3508,606594.3512
219935.3248,670983.3026
222327.232,681039.3196
205885.5913,601388.4318
231793.7852,665763.0296
226923.8449,679119.5223
226935.3847,672080.6641
219907.3015,682431.1159
224956.5226,680999.4868
222721.4306,672445.0846
222719.6459,680894.5693
214777.8118,608563.5848
223007.5236,681006.2566
222656.7018,680813.4873
225041.6331,680796.9339
209445.1369,595595.7635
210374.6062,602160.2057
215441.553,602777.7779
209799.4788,603880.0019
210255.5808,596055.5628
219627.5758,647243.114
220552.3307,645994.5903
220370.4194,652005.3339
218353.1041,645073.1821
219028.752,639891.5519
220559.5718,647355.1894
218332.7137,645894.5185
220504.3472,647459.5167
219273.6871,645811.815
218879.1726,645748.7243
201969.278,650275.9182
219729.921,647501.5372
205759.2578,645949.435
219535.7552,645348.0764
216403.7513,660898.5086
218238.994,652180.4677
218648.2113,647946.2428
225307.8534,646404.8728
216205.4028,644780.688
225157.7122,659981.7196
218402.2812,653295.544
208939.8773,648345.0124
224789.1259,653433.4708
220422.5162,647701.4299
203797.1785,654910.2426
213371.7898,638355.9203
220389.8143,647579.6623
219674.3094,648453.7191
225925.0002,646533.9384
224538.6669,630118.9863
222569.2611,640250.3071
217717.6203,644940.5173
218535.7129,645672.2489
209248.3266,648000.4522
206636.0289,643554.2749
219265.3249,645794.0622
221620.959,641620.4643
219760.9939,644468.3877
218655.8343,645653.5323
204012.269,654904.5262
219497.5514,639737.1463
220333.9622,652062.227
220484.0554,650435.3051
206633.4524,658148.0541
216948.7902,645039.2099
224790.9352,653969.5133
219223.0896,645780.4241
220324.0063,646048.5035
202414.83,650231.5215
218973.4187,643835.6236
219319.3651,645809.7961
216776.0287,647547.4586
218814.0288,645772.3026
213878.5923,637908.0451
219557.755,645665.6547
227250.5722,660279.3646
218811.1556,653008.123
215804.6933,661773.4735
224796.1095,653599.2624
201880.8151,659481.682
226942.1755,656339.4261
228267.8804,652323.3526
213421.6509,638346.1552
209996.143,659927.3389
220982.0552,652312.2652
203746.1063,654897.7795
219636.7368,644209.1665
220439.8372,646272.8813
226358.5216,642170.0093
218379.3578,652919.2721
226861.6297,656559.9348
219120.0866,645417.6738
219546.853,639739.6637
227852.7028,652515.4487
224742.3252,654939.5224
220096.9202,644637.6596
