x,y
251757.5901,763805.2639
193999.0695,719441.607
180762.309,572980.2992
175436.1094,642337.3612
174794.0167,643963.8907
181008.963,674581.6271
188594.5381,678139.6918
183136.7236,641941.3128
180395.1704,572562.5605
197325.1236,743816.0782
187163.3773,692603.1623
197181.7461,743943.0726
187029.5251,687160.9421
187069.7593,686974.8092
183491.6577,674616.7303
180480.1229,664653.184
195196.9012,384752.2075
191728.5499,704700.0568
178953.6434,664651.1434
178902.2496,664807.4732
179373.3407,665574.6805
217927.471,628777.5187
181698.5489,672697.234
200897.9257,743885.3
180744.2058,668845.7843
195751.7467,386614.4989
183951.7236,667892.1981
219912.0641,632538.652
219801.4395,628838.9404
220456.351,628748.8458
219940.0517,628701.9049
220291.6346,629059.7377
217889.9438,631411.1586
176986.8291,658082.6838
190938.2106,665107.0801
198942.7181,745427.3757
186470.352,659836.1164
186613.9048,659834.9437
179205.4144,657841.9011
187063.8162,663120.728
178799.8416,655255.3099
178655.4701,655425.2156
177993.3496,655368.4428
201782.8502,552174.2461
199868.8733,646055.5226
186873.6751,666170.289
199073.8232,743290.542
198752.0954,629346.917
193309.7741,675481.0298
193456.2717,674955.7896
191101.4738,676157.0387
180394.8995,647646.8789
190011.532,672241.1283
186964.8912,666164.9963
181012.9312,648591.5263
178622.7869,655079.0782
247541.1131,764116.2886
201519.1601,742059.6133
251547.7636,763831.2175
251791.5262,763788.2735
234613.976,567764.7586
234612.5152,567468.2672
203931.5852,742823.6732
203907.6079,742773.8713
204070.5528,742638.7269
209264.086,766220.5423
180489.7835,644743.3388
181687.7098,646349.7417
187690.9287,698879.2264
190911.3081,671221.9812
203813.7864,744350.1619
195302.131,384808.0698
195745.8609,386437.9538
195814.7729,384736.5274
195807.6292,386613.5057
196007.7633,384928.7204
194995.9215,384869.8409
195449.0495,386311.131
185554.1418,663961.813
183176.9802,669725.0434
179805.3663,652760.9246
199359.1826,626300.792
165975.3709,633171.7497
220188.3373,634216.3918
165974.3346,633723.631
188629.3118,659684.2327
219892.6316,574155.7655
180351.3239,668071.8806
180480.9228,667949.6343
180330.2608,668649.7904
166101.3878,635385.0777
165861.7257,633446.87
186291.316,676708.6993
182230.1321,674839.5828
183993.2851,664385.32
183940.1371,664342.6122
230757.6559,759254.5494
230770.4236,759245.6473
181416.2669,658023.2045
188054.027,692118.9643
209736.5149,767730.589
246882.7237,743348.6479
196270.2643,385247.2942
191431.6832,661562.0264
177787.8705,652837.2078
166118.8292,631577.3019
167200.6568,635427.6638
210099.5176,729723.1293
213714.2556,735063.1664
223048.9747,731463.2464
228667.9171,758543.6408
247640.8928,711695.4073
181327.3319,665585.7849
191044.3473,676082.2795
182312.4111,665891.9545
176644.8933,657860.0885
161008.784,618987.758
161105.5581,618884.1635
200684.0796,646796.8853
