x,y
167354.1763,633177.1248
159648.9707,618949.3398
159697.6904,619716.0763
182343.3218,573533.448
176627.0839,659720.2286
176027.5706,658336.6134
201804.6106,552316.858
190220.4156,672269.4568
191859.9732,705396.4946
180469.5438,657483.3428
179015.4253,656917.908
179214.058,657783.9596
178733.5619,656943.0911
181496.0713,656143.2425
196243.0308,747399.905
201466.398,743771.719
197184.7841,744227.7977
205038.8084,745024.6197
205547.0363,745626.537
219384.3472,634823.1593
218500.2366,631080.9712
218471.8326,631226.8972
222476.9585,637107.9017
221110.253,629234.844
220805.5434,628617.5107
230175.1097,634278.0853
239130.8116,634060.3291
182899.1776,677555.0903
183015.4289,677977.9171
183460.1045,679281.1808
184723.0553,684645.9044
189412.873,703126.4634
189805.3462,704387.6399
192212.4419,714568.67
192380.9609,716640.1338
178075.7138,660533.0764
177653.5071,658555.3802
177628.1568,657348.541
177248.3737,652716.7412
177085.4596,653711.7727
177208.4516,654882.9379
177464.0927,659958.9378
177397.5312,656412.4562
177325.5962,655788.1022
177526.7881,659515.1128
206404.133,745714.0924
206404.133,745714.0924
206404.133,745714.0924
165158.9357,607375.6723
182236.1568,611990.8511
192193.906,615297.4788
193673.4521,619566.3493
195007.3881,621534.9518
183801.7001,659271.254
191452.5723,703194.4311
191588.7546,703663.59
193221.3712,711148.4253
193701.766,712808.7644
208856.6546,756091.7021
209088.661,763183.8034
208876.0937,764086.0217
178718.4628,597888.6651
177291.3328,608042.0041
177980.2857,616887.7941
177779.4932,620828.6868
178915.8939,632106.8528
216447.0126,639421.6637
186297.0135,651408.1815
179925.6953,660170.8875
179756.1054,660284.2117
198477.7092,681525.1684
187030.2298,669906.0433
191908.4444,669642.1515
192516.5871,669431.7138
200754.8283,668245.2177
190704.5196,684937.6027
227602.7167,722024.1814
207205.6035,711947.761
209470.9446,712464.578
216982.4632,719034.3464
217182.8414,719339.2681
220372.4315,720795.4753
238221.5114,730771.8427
238874.8551,738007.5038
231681.971,719383.4145
242594.4135,715809.6015
245399.2811,714295.2843
222018.5437,733279.3482
218990.3025,748208.1246
221685.346,748775.8531
223315.4701,746262.5285
222067.737,748382.2423
218550.8489,755054.6463
221985.2312,753566.9358
224041.1246,769938.9916
224924.2682,769495.8193
251176.5941,759138.7647
191246.4178,677044.2416
189876.9583,675820.8925
202009.7422,743781.8379
202009.7422,743781.8379
195024.5259,734900.4231
194938.4789,734859.9706
191141.9036,655274.7448
193698.8755,726856.0502
193753.6275,726861.4539
193353.7315,724054.869
193253.6446,724068.07
165611.1836,626163.1447
163450.3806,622690.8821
163425.0984,622691.0191
186210.0744,655694.3456
188611.8161,648316.3524
188874.5201,695173.0745
188941.9104,695148.8435
187996.2878,569682.3553
205903.1021,544148.92
185487.8144,681338.6564
185574.1299,681310.6437
226543.8382,758574.58
227909.8784,732521.058
227742.6209,736285.988
229446.3368,734091.7219
186857.8698,688187.3941
185212.442,687233.594
186385.818,689305.3095
208940.2689,758522.1893
208962.1565,758522.166
189048.1659,666754.2582
186890.5039,666555.7828
163053.3515,620588.0089
214436.3296,747710.3257
214509.5595,747531.0704
162482.6298,580881.2413
215894.3368,757443.3402
196566.677,706114.735
196621.6653,706160.8172
233269.9691,727697.3601
193182.7474,674603.0695
168131.0679,629098.0569
183182.5534,656506.7138
193632.2786,713775.6432
162768.5027,619362.3656
162743.6366,619445.668
168200.7428,617979.4449
215644.6401,760777.9935
253569.3366,786042.1135
191246.5031,651498.6863
182646.9624,657347.7385
213034.4802,735009.2521
191119.2032,692216.6603
210516.5054,730963.3384
194547.6671,671535.357
197941.5156,637989.326
183381.6236,573986.2073
239330.1642,758634.647
198621.6694,682040.5226
217197.3514,755400.4392
188823.2989,659461.979
191045.8233,669958.7916
213666.9699,769022.8793
202315.6293,705506.2837
206125.8072,711446.443
182657.067,664938.208
180368.715,586829.4262
186398.4478,670059.6672
178349.2697,619438.4545
222038.6238,740447.2006
214222.9967,745717.9646
177141.734,626785.8628
194226.5721,675860.9324
192150.2425,707805.8327
186541.6603,651047.002
191008.9257,669149.3865
227704.6065,729328.8538
224465.066,633843.1602
208291.1982,712099.8631
197523.6623,735096.0288
192709.6558,709575.028
190830.7968,690140.0783
198364.5997,680802.7156
194447.1448,669027.575
189242.0283,647706.4738
215614.1949,734593.929
208802.1169,761897.6107
197176.4666,720951.4724
178509.3771,654430.4212
179322.602,654146.3105
177315.9987,654973.0919
183200.7982,662969.8171
182263.8346,665847.0653
186408.3075,676944.1875
180568.4318,668932.5519
180630.4713,667481.5062
179773.8817,661624.1571
179728.1413,661592.8419
