x,y
219248.5657,632839.24
187863.4246,691876.421
196340.0105,744347.5224
181682.1476,667926.1416
180971.8352,665645.6177
180608.9467,664570.7427
179799.5388,662409.7811
177429.597,660347.1127
177639.6535,658044.7702
177408.2503,656525.7208
177174.612,655012.0441
183039.5908,674544.5535
187002.4703,685506.2141
195905.5094,710128.3771
195942.2586,710183.4402
195538.4223,713431.062
194684.7576,733182.9047
162599.8029,620635.0131
168437.8037,631391.9758
200649.0731,645326.4219
181804.5996,646248.3695
181798.6024,646284.375
181542.4169,650736.1537
184104.0861,648891.1374
208065.5787,759260.0327
206878.1093,748698.6909
206840.1244,748684.6657
206336.2422,747793.3293
206310.9409,747807.3366
205417.2401,746080.0343
190860.2909,675243.5175
192253.8893,674947.419
193982.6372,669762.3508
184095.3842,667807.9743
187264.0089,668148.2184
193981.0367,667966.3065
200001.5729,747535.2686
178984.1064,660488.9013
196393.8167,644562.4795
217924.8292,628342.1016
217864.9669,628354.075
190824.2877,668767.4731
207098.3813,628356.0979
174701.1616,644360.2051
160776.9742,602749.0813
188425.3225,650453.6289
181806.1805,574581.4542
181798.7439,574560.7467
201017.3963,553138.2323
178971.6131,612424.1226
188655.1118,652719.6607
188639.4669,652713.2984
179959.0883,661398.1838
216618.128,757346.4525
190770.1235,704960.4507
209573.5179,767839.6167
187463.9269,687354.4997
188490.7552,648478.4373
180793.2008,572471.9006
175863.4816,641077.4665
181138.8862,665743.6486
188385.1811,650383.4804
216943.1801,628027.3405
177193.3457,654978.2114
213474.6173,626641.7167
180787.6184,586520.0906
219927.4561,728125.8957
219914.52,728078.7739
188195.3626,634890.9748
188410.9696,634758.7667
182292.1659,669349.2297
182285.1867,669378.8968
187700.9626,641730.4448
199066.6693,629470.0152
195639.1381,705560.6081
195641.57,705503.5681
193512.3683,725478.5643
195839.7193,739619.0716
207019.0667,628334.4489
185125.4034,680333.811
189780.169,698948.8699
186247.6258,655594.3339
186228.6296,655617.239
193727.6442,567098.369
246097.5306,713482.3693
227960.4749,725254.9713
227964.8859,725276.9663
165152.2942,581233.0598
228123.9972,758793.5476
197408.8838,641658.9624
187928.7892,691841.5839
186153.0888,676386.5971
199671.3742,562087.9707
207447.5842,549584.0684
183237.0626,628298.7575
186474.6911,638841.8554
159285.9899,591190.9733
160641.154,602816.5345
189433.0051,675488.3982
