Elders,Adults,Teen,x,y
0.196614583,0.46875,0.334635417,173946.344,614167.1864
0.232300885,0.482300885,0.28539823,189539.8843,628489.6115
0.248322148,0.432885906,0.318791946,172992.2744,613096.7801
0.257267442,0.395348837,0.347383721,226695.9368,519702.6827
0.216035635,0.461024499,0.322939866,179977.3314,608413.7751
0.174231332,0.453879941,0.371888726,188089.6537,617337.5469
0.202551834,0.432216906,0.36523126,181244.5493,613270.5717
0.071216617,0.486646884,0.442136499,198402.3557,402578.0006
0.248803828,0.497607656,0.253588517,179701.4346,659613.5361
0.138138138,0.483483483,0.378378378,191761.3595,604792.8876
0.178438662,0.508054523,0.313506815,184953.5296,607989.9074
0.254801921,0.473889556,0.271308523,251056.6139,763501.3077
0.228643216,0.43718593,0.334170854,192565.2798,625419.2368
0.163823163,0.477459527,0.35871731,185249.3083,639415.0948
0.223529412,0.485294118,0.291176471,256469.8189,773459.0239
0.181282802,0.467197608,0.35151959,163796.0529,579871.3594
0.2272,0.4528,0.32,172016.5586,616165.1895
0.168908819,0.484304933,0.346786248,200582.5955,722918.6258
0.286836935,0.469548134,0.243614931,258282.24,769257.4873
0.183962264,0.455974843,0.360062893,169989.0264,609387.2164
0.180769231,0.478846154,0.340384615,176120.2789,608991.4829
0.75,0.25,0,254305.1451,759440.6194
0.229765013,0.441253264,0.328981723,188566.9384,627629.2154
0.227455178,0.468022478,0.304522344,193152.9395,701564.1042
0.26309795,0.54498861,0.19191344,254242.9107,798163.9721
0.235751295,0.448186528,0.316062176,170876.7462,611601.896
0.154694889,0.398108534,0.447196577,247188.876,735024.8881
0.212833545,0.468445574,0.318720881,239740.2996,732715.7005
0.269635628,0.473684211,0.256680162,252396.276,730287.2635
0.232053422,0.535893155,0.232053422,238389.7067,740021.9327
0.109022556,0.453634085,0.437343358,189302.9582,621683.8096
0.203265499,0.459417889,0.337316611,194965.9749,733200.043
0.226351351,0.447635135,0.326013514,171101.7999,614779.5779
0.293083236,0.453692849,0.253223916,253324.3507,735495.0435
0.304597701,0.488505747,0.206896552,248016.7687,743997.5907
0.051383399,0.428194993,0.520421607,195456.6959,614916.0997
0.311403509,0.463450292,0.225146199,254186.343,734852.5077
0.288035451,0.488921713,0.223042836,253158.2891,736469.7251
0.201298701,0.474837662,0.323863636,190662.9684,645269.8758
0.222386588,0.463017751,0.314595661,248342.934,748677.1852
0.237481032,0.45447648,0.308042489,229166.5842,723534.8289
0.184864865,0.492972973,0.322162162,162152.8194,607313.8745
0.263374486,0.430041152,0.306584362,143127.3665,580384.6522
0.25490768,0.449669668,0.295422652,167582.8805,635675.818
0.157814871,0.46585736,0.376327769,168286.7364,595140.8607
0.314191961,0.447087777,0.238720263,195621.3311,706413.418
0.252941176,0.489705882,0.257352941,198660.8386,733931.3237
0.292389853,0.473965287,0.23364486,254054.005,794221.2453
0.270815074,0.455740578,0.273444347,254387.5863,769777.7859
0.29,0.495,0.215,211358.3965,635273.0848
0.259305211,0.447890819,0.29280397,254252.0643,734006.2181
0.238366572,0.455840456,0.305792972,218489.25,732866.3108
0.309130913,0.455445545,0.235423542,237056.6648,718128.5892
0.251798561,0.415467626,0.332733813,237768.6862,717896.2948
0.180604982,0.455516014,0.363879004,233937.7974,719161.1229
0.291208791,0.462912088,0.245879121,235300.9235,719143.1458
0.295454545,0.352272727,0.352272727,193887.112,651738.8069
0.315508021,0.441176471,0.243315508,236948.7962,718969.446
0.275088548,0.433293979,0.291617473,240137.2362,713940.9268
0.279596977,0.442065491,0.278337531,224514.7193,729928.759
0.202443281,0.476439791,0.321116928,228116.4746,726203.1768
0.309024613,0.446672744,0.244302644,240865.6943,713675.987
0.247821351,0.502723312,0.249455338,207369.9594,738792.1562
0.249347258,0.471279373,0.279373368,229980.4227,723294.7869
0.297927461,0.455958549,0.24611399,190208.1527,674931.9247
0.188880969,0.483428368,0.327690663,180564.0841,502393.6421
0.25,0.452380952,0.297619048,197520.899,721903.8736
0.155420773,0.473843821,0.370735406,228546.3109,729066.4172
0.326248672,0.429330499,0.244420829,227214.3525,728506.4119
0.162576687,0.386503067,0.450920245,227598.8095,727737.0446
0.124183007,0.607843137,0.267973856,163297.5301,620254.3352
0.245210728,0.415070243,0.339719029,209014.4109,739520.2421
0.203030303,0.478787879,0.318181818,225803.3209,717210.5745
0.292134831,0.458631256,0.249233912,188492.4314,699118.1596
0.240950083,0.475549346,0.283500572,215855.8393,734301.8369
0.288209607,0.415720524,0.296069869,221419.534,729870.5892
0.219202899,0.476449275,0.304347826,220782.5316,627395.2046
0.271428571,0.446428571,0.282142857,188827.478,663956.6817
