sug_yom,day,month,year
1,5,1,2008
1,12,1,2008
1,19,1,2008
2,22,1,2008
1,26,1,2008
1,2,2,2008
1,9,2,2008
1,16,2,2008
2,20,2,2008
1,23,2,2008
1,1,3,2008
1,8,3,2008
1,15,3,2008
2,20,3,2008
2,21,3,2008
1,22,3,2008
2,23,3,2008
1,29,3,2008
1,5,4,2008
1,12,4,2008
3,19,4,2008
2,20,4,2008
2,21,4,2008
2,22,4,2008
2,23,4,2008
2,24,4,2008
2,25,4,2008
2,26,4,2008
2,1,5,2008
1,3,5,2008
2,7,5,2008
2,8,5,2008
1,10,5,2008
1,17,5,2008
2,19,5,2008
2,23,5,2008
1,24,5,2008
1,31,5,2008
2,2,6,2008
1,7,6,2008
2,8,6,2008
2,9,6,2008
1,14,6,2008
1,21,6,2008
1,28,6,2008
1,5,7,2008
1,12,7,2008
1,19,7,2008
1,26,7,2008
1,2,8,2008
3,9,8,2008
2,10,8,2008
3,16,8,2008
1,23,8,2008
1,30,8,2008
1,6,9,2008
1,13,9,2008
3,20,9,2008
1,27,9,2008
2,29,9,2008
2,30,9,2008
2,1,10,2008
1,4,10,2008
2,8,10,2008
2,9,10,2008
1,11,10,2008
2,13,10,2008
2,14,10,2008
2,15,10,2008
2,16,10,2008
2,17,10,2008
2,18,10,2008
2,19,10,2008
2,20,10,2008
2,21,10,2008
1,25,10,2008
1,1,11,2008
1,8,11,2008
1,15,11,2008
1,22,11,2008
2,27,11,2008
1,29,11,2008
1,6,12,2008
1,13,12,2008
1,20,12,2008
2,21,12,2008
2,22,12,2008
2,23,12,2008
2,24,12,2008
2,25,12,2008
2,26,12,2008
3,27,12,2008
2,28,12,2008
2,29,12,2008
1,3,1,2009
1,10,1,2009
1,17,1,2009
1,24,1,2009
1,31,1,2009
1,7,2,2009
2,9,2,2009
1,14,2,2009
1,21,2,2009
1,28,2,2009
1,7,3,2009
2,9,3,2009
2,10,3,2009
2,11,3,2009
1,14,3,2009
1,21,3,2009
1,28,3,2009
1,4,4,2009
2,8,4,2009
2,9,4,2009
2,10,4,2009
2,11,4,2009
2,12,4,2009
2,13,4,2009
2,14,4,2009
2,15,4,2009
1,18,4,2009
2,21,4,2009
1,25,4,2009
2,28,4,2009
2,29,4,2009
1,2,5,2009
2,8,5,2009
