x,y
180381,666792
178268,665262
178741,666077
179540,664549
179491,665204
180989,664326
181733,663176
182372,662869
184018,660615
179823,664539
180679,664193
180749,664415
181444,664166
185832,662202
184379,662719
181530,663704
185766,662359
180816,653730
181051,654135
180233,652500
179381,665426
179920,665759
179080,664844
179781,664783
179526,664764
178325,665563
180810,665900
178651,666357
178529,666130
228905,735058
186969,663861
186725,662305
187341,662468
180632,665111
179755,653976
221610,631447
220570,632042
220526,631968
220666,632189
219818,632242
219893,631506
219289,632180
219491,632151
220573,631622
220527,631846
220323,631040
220121,630818
221094,633427
222137,634124
222290,634846
221940,633870
178541,665516
178409,665255
178287,665000
178802,666323
178885,666646
179595,666165
179643,666471
179657,666566
219544,632882
219848,633296
221327,630729
221551,630952
221411,629959
221338,629797
220797,632399
220703,632441
220698,632596
219947,632184
221598,632318
219404,635121
218637,635840
216499,637729
222395,633724
220262,631293
221082,631063
220720,631376
220861,631229
220452,631990
222413,635014
221410,632466
220779,632843
220902,629049
220537,627989
220448,628029
219486,628677
220466,629654
220826,630044
219537,630140
218988,628969
220109,633659
220451,629474
220398,629160
220964,629027
220813,628586
221222,629562
221427,630118
220948,631157
190755,635413
176743,625231
178472,664138
178791,665237
178880,664846
178175,665265
178128,665056
177958,664571
179609,662551
179588,662456
179478,662616
179966,662398
179317,664377
178790,665463
181750,667725
182330,674200
182400,674142
250914,743779
250838,743760
238994,731599
237089,729783
218275,719840
207702,711989
179078,663640
179171,662940
179676,662425
179179,660688
181514,659026
178899,666037
178955,666293
179029,666630
179706,666821
180251,665670
180387,666477
177761,663717
178357,663671
187121,666536
219764,733990
181550,674558
181614,675041
181604,674992
183861,674507
184835,674339
185318,674657
182050,674398
182187,674307
181877,674467
183418,574035
177058,614910
195289,722014
192035,707918
191106,700033
191624,697815
187879,692392
188405,692320
199072,748077
206147,745873
207551,746986
208765,756644
209405,758222
208816,761876
209130,764964
224083,769930
215899,750464
198781,690962
200119,690929
239416,758591
234795,759729
196723,650544
197506,735135
190989,663448
191221,661615
191147,661993
183556,670120
183863,668244
183011,669497
163060,621024
172327,623147
187898,667037
189355,664732
180991,665352
191198,692223
187788,666469
219577,626525
229626,634092
230837,634633
189979,667996
250869,743600
248809,744704
250312,744298
219462,630472
218518,630462
197216,743964
199072,742654
186930,664521
194628,652282
192712,709618
237280,717433
186996,688166
186789,688225
186549,688285
186853,692763
186728,692815
186801,692616
186804,691569
182762,643441
183128,643491
179498,665428
179380,665205
178654,665242
216940,753571
217333,755346
215912,757442
186737,676794
186389,676897
186444,677146
183049,676308
185057,676016
186168,675887
187095,676699
189218,677611
187294,677702
188444,678112
188395,677989
188808,676247
188355,677702
189277,678177
185886,675652
188509,690840
187972,690967
