ped,year,x,y
0,2008,251056.6139,763501.3077
0,2008,185249.3083,639415.0948
0.166666667,2008,163796.0529,579871.3594
0,2008,194965.9749,733200.043
0.130952381,2008,167582.8805,635675.818
0,2008,192480.4567,684407.1162
0.04,2008,173197.8992,633415.377
0.1,2008,193789.3813,691409.4079
0.047619048,2008,189481.6015,686635.7491
0.037037037,2008,192057.2281,687138.921
0.428571429,2008,188390.2327,663143.6488
0.161290323,2008,210054.2295,729138.0086
0.209677419,2008,160457.8459,592170.0098
0.4,2008,183287.8371,677054.8301
0,2008,188437.1736,687179.7648
0.111111111,2008,183680.172,656296.0917
0.266666667,2008,183172.234,641066.4667
0.090909091,2008,210534.3263,634813.9596
0.25,2008,216186.6566,762891.9453
0.222222222,2008,230532.1016,731813.4439
0.072463768,2008,238961.93,754631.5461
0,2008,234847.6576,745917.4556
0.4,2008,217247.3271,760702.7561
0.027777778,2008,235172.6575,733041.7111
0.125,2008,234775.6209,751882.9747
0.078947368,2008,205114.7589,733223.1475
0.14893617,2008,226046.4249,732145.6787
0.186046512,2008,219146.3886,762117.0998
0.05,2008,219710.219,753010.6368
0.071428571,2008,215528.6721,762047.8286
0.070175439,2008,232340.1829,739237.707
0.285714286,2008,224991.2982,745985.5534
0.055555556,2008,224843.8341,735939.3819
0.203389831,2008,224263.7874,758418.507
0.230769231,2008,230244.8714,760042.0006
0.083333333,2008,218209.5981,747702.9541
0,2008,238039.1012,748962.1562
0.078125,2008,231930.187,750705.8176
0.125,2008,195940.4572,722648.1341
0,2008,222939.5286,754909.8695
0.333333333,2008,191932.2477,715881.5537
0.106382979,2008,229724.1431,736118.36
0,2008,234657.9896,760394.3696
0.205128205,2008,181867.5257,659050.8326
0,2008,195924.5816,673075.2219
0,2008,197396.0549,670882.8685
0.117647059,2008,197056.5835,669377.863
0.095238095,2008,209237.5569,711628.0992
0.032258065,2008,198261.0333,688411.176
0.071428571,2008,204928.3823,712312.9808
0.1,2008,185279.8773,574781.8654
0.052631579,2008,186075.0373,664914.1637
0,2008,195276.407,663147.693
0.1875,2008,223062.4398,731638.8091
0,2008,255953.3204,763666.7383
0.052631579,2008,221258.3241,735858.6397
0.185185185,2008,213484.9019,633641.3781
0.193548387,2008,192736.1735,712855.8218
0.142857143,2008,161853.6833,603953.7757
0.066666667,2008,175960.9805,626640.5975
0.333333333,2008,186825.9903,573009.0864
0.111842105,2008,230795.1149,734451.6386
0.170731707,2008,226247.7155,768737.2069
0,2008,177411.3946,633029.8046
0.08,2008,227276.1034,757321.7084
0.302325581,2008,176773.2174,588617.2577
0.083333333,2008,192079.4112,711223.4433
0.051813472,2008,200207.991,645701.6199
0.181818182,2008,184634.6097,567181.8731
0.25,2008,203677.2981,696698.8723
0.111111111,2008,213374.6999,759652.9886
0,2008,228628.6452,763251.881
0.5,2008,194983.8805,656155.4612
0.28125,2008,196084.9638,661964.4267
0,2008,209002.2049,708738.6726
0,2008,251316.8213,765400.7463
0.066666667,2008,197358.8695,741270.2953
0.441176471,2008,202602.1187,553029.9717
0.333333333,2008,212129.6086,735221.4453
0.298850575,2008,186588.3236,659471.3286
0.061068702,2008,204344.9586,741703.4878
0.227272727,2008,184930.6173,649631.406
0.261904762,2008,179217.7094,635457.1174
0.05,2008,220151.0134,573794.5091
0.131147541,2008,193982.2397,384601.1613
0.253731343,2008,199782.6636,624450.9704
0.142857143,2008,186798.4471,662934.9997
0.109589041,2008,177362.0581,613281.6054
0.065934066,2008,196550.4375,666814.9584
0.243243243,2008,184507.9311,671981.2669
0.210526316,2008,175078.9669,643145.1924
0.285714286,2008,214214.9183,714102.0366
0.040540541,2008,196099.0598,682303.3879
0.075757576,2008,200706.3096,685368.4038
0.11,2008,253643.3399,790131.3797
0.138743455,2008,220183.7413,632033.9331
0.176470588,2008,216862.7944,668104.2558
0.35,2008,229773.99,632377.0976
0,2008,209242.4882,675419.0131
0.166666667,2008,215340.4011,641077.3407
0,2008,201590.9217,675174.4031
0.181818182,2008,210802.9693,622871.3749
0.2,2008,204437.4911,648815.6846
0.154290429,2008,198947.2387,744928.038
0.333333333,2008,265389.4708,766057.7314
0.2,2008,272000.9949,796891.5243
0.139983467,2008,180489.6796,665757.436
0.139240506,2008,204103.4231,702912.7022
0.338061466,2008,184664.9222,666370.5283
0.231854839,2008,176423.4831,657968.8081
0.22147651,2008,182247.9274,664184.7933
0.134897361,2008,184092.1638,675213.4927
0.118181818,2008,191964.8863,705012.6646
0.177399757,2008,179547.8525,657938.5887
0.1625,2008,249488.8046,743591.7782
0.085365854,2008,210144.2812,745681.4784
0.164,2008,192723.2892,676090.6946
0.275862069,2008,189790.68,650979.2926
0.067164179,2008,159183.2739,618811.6413
0.107526882,2008,180734.4016,647841.026
0.103092784,2008,227728.0189,734143.2878
0.147727273,2008,186926.721,690287.2458
0.086419753,2008,228479.8393,752272.2282
0.168674699,2008,208329.246,758645.1294
0.179487179,2008,227459.6876,724073.5691
0.089285714,2008,197819.0115,708950.571
0.147147147,2008,189330.9033,666948.3729
0.075757576,2008,247792.468,764037.3763
0.371428571,2008,208058.4158,749680.3738
0.197424893,2008,180285.3817,652959.1938
0.190123457,2008,182861.8575,644475.9211
0.263157895,2008,188065.9515,648252.092
0.188760807,2008,183799.2091,663693.3378
0.204379562,2008,187849.7638,677143.1302
0.156862745,2008,216417.3184,745668.617
0.122807018,2008,218174.2477,751017.3587
0.082653061,2008,179975.3102,573353.3219
0.077777778,2008,209576.4694,768554.9245
0.205882353,2008,247138.8652,711634.0844
0.121212121,2008,196428.7174,719347.2143
0.15,2008,189533.9203,659908.3691
0.12345679,2008,209407.525,749073.2659
0.333333333,2008,207045.023,750441.7036
0.141304348,2008,189170.0528,672983.6101
0.058823529,2008,195299.4524,713965.2371
0.222222222,2009,251056.6139,763501.3077
0,2009,185249.3083,639415.0948
0.03030303,2009,163796.0529,579871.3594
0.166666667,2009,194965.9749,733200.043
0.180422265,2009,167582.8805,635675.818
0.571428571,2009,192480.4567,684407.1162
0.045454545,2009,173197.8992,633415.377
0.142857143,2009,193789.3813,691409.4079
0.034482759,2009,189481.6015,686635.7491
0.214285714,2009,192057.2281,687138.921
0.125,2009,188390.2327,663143.6488
0.142857143,2009,210054.2295,729138.0086
0.184210526,2009,160457.8459,592170.0098
0,2009,183287.8371,677054.8301
0,2009,188437.1736,687179.7648
0.111111111,2009,183680.172,656296.0917
