x,y,trafiic_signal
180381,666792,1
178268,665262,1
178741,666077,1
179540,664549,1
179491,665204,1
180989,664326,1
181733,663176,1
182372,662869,1
184018,660615,1
179823,664539,1
180679,664193,1
180749,664415,1
181444,664166,1
185832,662202,1
184379,662719,1
181530,663704,1
185766,662359,1
180816,653730,1
181051,654135,1
180233,652500,1
179381,665426,1
179920,665759,1
179080,664844,1
179781,664783,1
179526,664764,1
178325,665563,1
180810,665900,1
178651,666357,1
178529,666130,1
228905,735058,1
186969,663861,1
186725,662305,1
187341,662468,1
180632,665111,1
179755,653976,1
221610,631447,1
220570,632042,1
220526,631968,1
220666,632189,1
219818,632242,1
219893,631506,1
219289,632180,1
219491,632151,1
220573,631622,1
220527,631846,1
220323,631040,1
220121,630818,1
221094,633427,1
222137,634124,1
222290,634846,1
221940,633870,1
178541,665516,1
178409,665255,1
178287,665000,1
178802,666323,1
178885,666646,1
179595,666165,1
179643,666471,1
179657,666566,1
219544,632882,1
219848,633296,1
221327,630729,1
221551,630952,1
221411,629959,1
221338,629797,1
220797,632399,1
220703,632441,1
220698,632596,1
219947,632184,1
221598,632318,1
219404,635121,1
218637,635840,1
216499,637729,1
222395,633724,1
220262,631293,1
221082,631063,1
220720,631376,1
220861,631229,1
220452,631990,1
222413,635014,1
221410,632466,1
220779,632843,1
220902,629049,1
220537,627989,1
220448,628029,1
219486,628677,1
220466,629654,1
220826,630044,1
219537,630140,1
218988,628969,1
220109,633659,1
220451,629474,1
220398,629160,1
220964,629027,1
220813,628586,1
221222,629562,1
221427,630118,1
220948,631157,1
190755,635413,1
176743,625231,1
178472,664138,1
178791,665237,1
178880,664846,1
178175,665265,1
178128,665056,1
177958,664571,1
179609,662551,1
179588,662456,1
179478,662616,1
179966,662398,1
179317,664377,1
178790,665463,1
181750,667725,1
182330,674200,1
182400,674142,1
250914,743779,1
250838,743760,1
238994,731599,1
237089,729783,1
218275,719840,1
207702,711989,1
179078,663640,1
179171,662940,1
179676,662425,1
179179,660688,1
181514,659026,1
178899,666037,1
178955,666293,1
179029,666630,1
179706,666821,1
180251,665670,1
180387,666477,1
177761,663717,1
178357,663671,1
187121,666536,1
219764,733990,1
181550,674558,1
181614,675041,1
181604,674992,1
183861,674507,1
184835,674339,1
185318,674657,1
182050,674398,1
182187,674307,1
181877,674467,1
183418,574035,1
177058,614910,1
195289,722014,1
192035,707918,1
191106,700033,1
191624,697815,1
187879,692392,1
188405,692320,1
199072,748077,1
206147,745873,1
207551,746986,1
208765,756644,1
209405,758222,1
208816,761876,1
209130,764964,1
224083,769930,1
215899,750464,1
198781,690962,1
200119,690929,1
239416,758591,1
234795,759729,1
196723,650544,1
197506,735135,1
190989,663448,1
191221,661615,1
191147,661993,1
183556,670120,1
183863,668244,1
183011,669497,1
163060,621024,1
172327,623147,1
187898,667037,1
189355,664732,1
180991,665352,1
191198,692223,1
187788,666469,1
219577,626525,1
229626,634092,1
230837,634633,1
189979,667996,1
250869,743600,1
248809,744704,1
250312,744298,1
219462,630472,1
218518,630462,1
197216,743964,1
199072,742654,1
186930,664521,1
194628,652282,1
192712,709618,1
237280,717433,1
186996,688166,1
186789,688225,1
186549,688285,1
186853,692763,1
186728,692815,1
186801,692616,1
186804,691569,1
182762,643441,1
183128,643491,1
179498,665428,1
179380,665205,1
178654,665242,1
216940,753571,1
217333,755346,1
215912,757442,1
186737,676794,1
186389,676897,1
186444,677146,1
183049,676308,1
185057,676016,1
186168,675887,1
187095,676699,1
189218,677611,1
187294,677702,1
188444,678112,1
188395,677989,1
188808,676247,1
188355,677702,1
189277,678177,1
185886,675652,1
188509,690840,1
187972,690967,1
187029,690980,1
207757,747731,1
187284,688137,1
186745,686586,1
179690,661597,1
178559,662020,1
177815,661809,1
179684,629847,1
189225,647774,1
193193,691976,1
190471,687774,1
188955,677679,1
188883,678156,1
191132,677083,1
186768,670323,1
186670,692239,1
186155,692535,1
189148,692227,1
188970,676204,1
185889,675908,1
189241,677753,1
189264,677904,1
187374,676626,1
