lon,lat,s
34.79056816,32.0938406,98.00
34.76825033,32.07996836,1.00
34.77322563,32.08733496,71.00
34.78175241,32.07358436,83.00
34.78120624,32.07948926,30.00
34.79710749,32.07162367,78.00
34.80503202,32.06127828,1.00
34.81181052,32.05853096,14.00
34.82932322,32.03825753,21.00
34.78475003,32.07350415,58.00
34.79382975,32.0704137,20.00
34.79456215,32.07241805,48.00
34.80193256,32.07019622,49.00
34.84847239,32.05262426,3.00
34.83306845,32.05724235,33.00
34.80286155,32.06603289,46.00
34.84776805,32.0540381,82.00
34.7956999,31.97606462,60.00
34.79817003,31.97972486,60.00
34.78958186,31.96495257,32.00
34.78003192,32.08148731,81.00
34.78572719,32.08450922,34.00
34.77686824,32.07622826,3.00
34.78429515,32.07570301,38.00
34.78159521,32.07552269,3.00
34.76884117,32.08268477,41.00
34.79514851,32.08581153,39.00
34.77226042,32.08985668,87.00
34.77097778,32.08780524,1.00
35.30528663,32.71006779,60.00
34.86045555,32.06761815,19.00
34.85792444,32.05357931,7.00
34.86444161,32.05506689,8.00
34.79329494,32.07869041,47.00
34.78446479,31.97824638,42.00
35.2272466,31.77576638,90.00
35.21626794,31.78113383,37.00
35.21580332,31.78046651,66.00
35.21728165,31.78245944,88.00
35.20832864,31.782938,91.00
35.20912015,31.77630041,58.00
35.20274354,31.7823789,80.00
35.20487621,31.78211738,88.00
35.21629913,31.77734609,5.00
35.21581374,31.77936626,58.00
35.2136593,31.77209757,40.00
35.21152671,31.77009562,24.00
35.22180248,31.79362371,77.00
35.23281752,31.79990756,42.00
35.23443527,31.80641847,17.00
35.2307366,31.79761733,30.00
34.77113102,32.08226878,1.00
34.76974404,32.07991036,38.00
34.76846279,32.0776064,73.00
34.77386136,32.08955552,1.00
34.77472692,32.09247124,6.00
34.78226792,32.088159,62.00
34.78276368,32.09092012,72.00
34.78290805,32.0917773,73.00
35.20543584,31.78870984,91.00
35.2086458,31.7924434,27.00
35.22425758,31.76929164,74.00
35.22662267,31.77130236,75.00
35.22514277,31.76234729,52.00
35.2243719,31.76088643,76.00
35.21866502,31.78435316,76.00
35.21767262,31.78473204,24.00
35.21762002,31.7861299,19.00
35.20969058,31.78241488,40.00
35.22712183,31.78362145,80.00
35.20395752,31.80890204,38.00
35.19585676,31.81538597,83.00
35.1732704,31.83241812,8.00
35.23554075,31.79629957,71.00
35.21301556,31.77437928,21.00
35.22167183,31.77230417,42.00
35.21785073,31.7751274,6.00
35.21933905,31.77380152,54.00
35.21502208,31.78066498,70.00
35.23573473,31.80793325,9.00
35.22513723,31.78495651,20.00
35.21847557,31.78835736,82.00
35.21976865,31.75414125,31.00
35.21591505,31.74458208,74.00
35.21497583,31.7449429,68.00
35.20482332,31.7507873,19.00
35.21516747,31.75959789,83.00
35.2189679,31.76311471,91.00
35.20536171,31.7639813,100.00
35.19956718,31.75342059,93.00
35.21140193,31.79571696,25.00
35.21500896,31.75797458,39.00
35.21444924,31.75514283,73.00
35.22042301,31.75394277,99.00
35.21882865,31.74996581,43.00
35.22314705,31.75876727,11.00
35.22531198,31.7637812,94.00
35.22025738,31.77315209,22.00
34.90139358,31.81117449,48.00
34.75386047,31.71891309,10.00
34.7704589,32.06983983,61.00
34.77379078,32.07976186,60.00
34.77474992,32.07623912,43.00
34.76726518,32.07999201,52.00
34.76677636,32.07810559,45.00
34.76499676,32.07372575,3.00
34.78256591,32.05556928,67.00
34.78234748,32.05471185,8.00
34.78117608,32.05615081,85.00
34.78635238,32.05420209,62.00
34.77939783,32.07202541,65.00
34.77377063,32.08179984,93.00
34.80503365,32.10230072,91.00
34.81092766,32.16070965,94.00
34.81167197,32.16018893,77.00
35.54032031,32.78829575,13.00
35.53950838,32.7881266,9.00
35.41281981,32.67874515,91.00
35.39247461,32.66240216,89.00
35.19192964,32.57288395,96.00
35.07943163,32.50202723,92.00
34.77689759,32.0653708,17.00
34.77791175,32.05906168,32.00
34.78328056,32.0544354,27.00
34.77809064,32.03875389,18.00
34.80287637,32.02384695,24.00
34.77490092,32.08697994,96.00
34.77548331,32.08929049,92.00
34.77625299,32.09233212,27.00
34.78341656,32.09407855,46.00
34.78923681,32.08371818,4.00
34.79064453,32.09100022,87.00
34.76294737,32.06601734,7.00
34.76926095,32.06562436,98.00
34.86197532,32.09174523,50.00
